,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
2397,67520405,t,82069060128796855,864691136662437598,82069060128794363,864691135785592004,5112,[125604 202980  18330],[125754 203086  18323],[125636 203047  18331],"[429.74066478478386, 455.947806712673, 733.2000000000002]",L5,nan
2473,41188401,t,79465623087797810,864691135739768468,79465554368332582,864691135785592004,5040,[106578 204520  20501],[106682 204402  20499],[106620 204446  20503],"[353.38938410588406, 455.4514654068504, 820.0400000000003]",L5,nan
2479,54737271,t,80660998117194238,864691135700578683,80660998117198400,864691135785592004,5476,[115422 198022  18458],[115558 198008  18461],[115480 197980  18464],"[390.8961198110748, 432.6415943694909, 738.3200000000002]",L5,nan
2484,60692895,t,81293423327713042,864691136296653339,81363792071894856,864691135785592004,5368,[120340 191470  17741],[120392 191348  17738],[120376 191436  17747],"[412.7774396178662, 408.24785149323435, 709.6400000000001]",L5,nan
2498,78742743,t,83124316212346897,864691135865592197,83124316212333802,864691135785592004,6264,[133334 201236  16889],[133410 201196  16877],[133397 201215  16878],"[461.1510033111883, 451.69320806454255, 675.5600000000002]",L5,nan
2546,45682197,t,80099010437826394,864691135534567876,80099010437829853,864691135785592004,2468,[111294 205392  20026],[111256 205428  20033],[111308 205419  20035],"[371.87760165998293, 460.5702984449863, 801.0400000000003]",L5,nan
2557,62609211,t,81633378511932254,864691135564692055,81633378511921681,864691135785592004,2924,[122580 102648  17133],[122496 102662  17130],[122544 102658  17129],"[452.6687336420983, 55.09274505263323, 685.3200000000002]",L1,nan
2561,75280321,t,82278448306947045,864691136090913716,82278448306939834,864691135785592004,5188,[127208 190298  17455],[127292 190164  17454],[127230 190242  17455],"[440.55348648584373, 405.97203331334396, 698.2000000000002]",L5,nan
2567,112243125,t,85094984579546762,864691136733120366,85094984579536490,864691135785592004,1548,[147626 203656  16320],[147536 203656  16311],[147572 203656  16318],"[517.2577942218999, 466.3188922434687, 652.8000000000002]",L5,nan
2614,48107855,t,79957310675545960,864691136965773518,79957310675544812,864691135785592004,6268,[110280 198176  18560],[110294 198110  18560],[110323 198152  18557],"[370.3526993231912, 431.4626309866815, 742.4000000000001]",L5,nan
2643,73005520,t,82631666618790668,864691135373732169,82631666618799236,864691135785592004,7316,[129614 200722  19100],[129590 200682  19105],[129606 200700  19109],"[446.5068184106723, 448.34815431318077, 764.0000000000001]",L5,nan
2649,60227821,t,81434573065834392,864691135644578543,81434573065841093,864691135785592004,10216,[120910 194404  17195],[121014 194410  17198],[120954 194428  17194],"[414.02590373262893, 420.1379075635038, 687.8000000000002]",L5,nan
2668,61180051,t,81365441473272829,864691135737478001,81365441473287061,864691135785592004,8368,[120622 203966  18516],[120600 203932  18528],[120596 203894  18522],"[409.54475459181475, 458.1399589604715, 740.6400000000001]",L5,nan
2685,27177124,t,78197610766540963,864691136105448921,78197610766529063,864691135785592004,2756,[ 97764 194366  16762],[ 97752 194326  16750],[ 97795 194293  16759],"[321.80746147740035, 411.91725868284465, 670.4800000000001]",L5,nan
2702,84664921,t,83054566278518614,864691136388260983,83054566278519802,864691135785592004,6740,[132838 205800  18992],[132908 205776  18994],[132862 205798  18992],"[457.58343779057304, 469.70682147929404, 759.6800000000002]",L5,nan
2715,75280758,t,82348817051117548,864691136031656891,82348817051123387,864691135785592004,10068,[127828 190330  17447],[127792 190420  17452],[127770 190400  17447],"[443.01289340203954, 406.3156924767139, 697.8800000000001]",L5,nan
2795,61267225,t,81154953917580823,864691135415469242,81154953917567301,864691135785592004,7928,[119286 208422  20255],[119278 208304  20244],[119296 208380  20247],"[402.66762616647827, 475.43037297001536, 810.2000000000003]",L5,nan
2841,35558322,t,79044303775001997,864691136813511534,79044303774996912,864691135785592004,6820,[103862 211266  19353],[103896 211252  19352],[103872 211312  19347],"[340.21491434351253, 481.3859231509475, 774.1200000000001]",L5,nan
2857,84664789,t,83054566278522976,864691135864687836,83054566278516122,864691135785592004,3580,[132758 205944  18998],[132656 205844  18988],[132700 205912  18992],"[457.214453779361, 470.25273978771577, 759.9200000000002]",L5,nan
2863,55073037,t,80450029323861089,864691135386742657,80520329348569295,864691135785592004,3004,[114186 198998  18702],[114250 198850  18700],[114176 198922  18703],"[385.63067720402233, 436.0998404786967, 748.0800000000002]",L5,nan
2902,67669135,t,81789578419423786,864691136041427286,81789578419422158,864691135785592004,7084,[123720 217832  21249],[123770 217832  21249],[123776 217774  21248],"[417.0555931748116, 514.4729356595611, 849.9600000000003]",L5,nan
2907,23849280,t,78197610766532329,864691136482852140,78197610766531475,864691135785592004,14364,[ 97652 194326  16752],[ 97754 194344  16751],[ 97650 194332  16746],"[321.37511117149495, 411.718821758399, 670.0800000000002]",L5,nan
2908,92448416,t,83336865956230848,864691136418648215,83266497212046641,864691135785592004,3972,[134756 211802  19666],[134688 211802  19662],[134748 211770  19669],"[463.1338084424471, 494.2921226494407, 786.6400000000002]",L5,nan
2922,54317933,t,80945359714981816,864691135104018765,80945359714981683,864691135785592004,8832,[117378 219610  21925],[117294 219474  21924],[117338 219554  21923],"[391.16427443119886, 519.346905470367, 877.0000000000002]",L5,nan
2924,113335971,t,85165559481842782,864691135269682597,85165559481849308,864691135785592004,6968,[148288 205096  16026],[148294 205144  16035],[148314 205097  16028],"[519.3937007042202, 472.2877621112731, 641.0400000000001]",L5,nan
2938,54972780,t,80872035563455538,864691136273105342,80872035563464964,864691135785592004,7344,[117030 197406  18222],[117174 197360  18223],[117072 197439  18220],"[397.5183958593311, 430.7475563707457, 728.8800000000001]",L5,nan
2941,35001346,t,79184079257619318,864691137019964014,79184079257615551,864691135785592004,11392,[104768 204352  19706],[104854 204344  19708],[104822 204408  19709],"[346.2355031508262, 454.1510149922397, 788.2400000000002]",L5,nan
2949,48098695,t,80098597987101403,864691135502054069,80098666706560074,864691135785592004,3436,[111648 202380  19359],[111604 202516  19360],[111618 202438  19356],"[374.33826574110464, 448.6915572541075, 774.3600000000001]",L5,nan
2956,54994483,t,80944741239679402,864691136423065135,80944741239689835,864691135785592004,1144,[117550 214744  21872],[117652 214808  21886],[117612 214788  21879],"[393.5460557603264, 500.01693501771956, 874.8800000000002]",L5,nan
2968,54174868,t,80943091569447544,864691136031647163,80943160288909515,864691135785592004,1044,[117568 202898  18679],[117596 202996  18682],[117543 202930  18685],"[397.747569492944, 452.8195206568181, 747.1600000000001]",L5,nan
2976,105676751,t,84532103412249793,864691135580230084,84532103412245762,864691135785592004,1992,[143778 204158  16418],[143782 204182  16414],[143754 204192  16417],"[501.74935669743445, 466.9777500048651, 656.7200000000001]",L5,nan
2979,54173839,t,80731710459019613,864691135809755596,80731641739576390,864691135785592004,1620,[115846 200458  18721],[115870 200388  18733],[115896 200452  18727],"[391.7364204617053, 442.49633164739697, 748.8400000000001]",L5,nan
2989,75558224,t,82422759409487951,864691135303161255,82422759409490946,864691135785592004,7752,[128198 217198  19079],[128134 217078  19079],[128149 217176  19079],"[435.120459570639, 513.5077195692965, 763.1600000000001]",L5,nan
3009,112546961,t,85518021745043331,864691135771675979,85447721720340720,864691135785592004,1528,[150586 210104  16476],[150468 210132  16483],[150532 210144  16480],"[526.8048185303586, 493.0446698907833, 659.0400000000001]",L5,nan
3040,44970290,t,80169447834580051,864691136687222126,80169447834590332,864691135785592004,4440,[112096 205904  19767],[112078 206014  19783],[112066 206003  19763],"[374.8948992903141, 462.8901008094126, 790.6800000000003]",L5,nan
3049,90867293,t,83827866281917773,864691134947456508,83827866281916760,864691135785592004,568,[138344 200044  17054],[138280 199972  17055],[138312 200018  17058],"[481.5303036423677, 448.68995282870424, 682.1600000000001]",L5,nan
