,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
1143,139733687,t,87338126275717609,864691135975839811,87338126275739414,864691135462597021,14584,[163930 139364  20131],[164014 139382  20146],[163961 139391  20142],"[604.639295703581, 215.81344304364205, 805.2400000000002]",L2/3,nan
1165,150447199,t,88746119634832916,864691135696173466,88746119634830937,864691135462597021,27876,[174266 143692  20341],[174186 143602  20337],[174200 143664  20339],"[644.3171290830386, 236.6629326851655, 813.6400000000002]",L2/3,nan
1190,118158427,t,85648039263849991,864691135782392371,85648039263857944,864691135462597021,1516,[151750 129870  18848],[151708 129914  18854],[151677 129922  18852],"[559.4145164991361, 173.73572540224396, 753.9200000000002]",L2/3,nan
1216,118525181,t,85860039050491396,864691136041269078,85860039050483735,864691135462597021,5232,[153238 136402  20015],[153276 136408  20010],[153282 136402  20016],"[563.0666620956674, 200.28305145481923, 800.6000000000003]",L2/3,nan
1220,117022734,t,85998508729349440,864691135445930386,86068877473559024,864691135462597021,4204,[154620 119648  19840],[154698 119642  19843],[154606 119678  19837],"[574.4144556426957, 134.00386451341183, 793.6000000000003]",L2/3,nan
1236,144951169,t,87901557131292670,864691135490586308,87901557131278365,864691135462597021,10124,[168408 142732  19129],[168384 142756  19115],[168396 142778  19120],"[621.3089729695038, 230.79531168043013, 765.1600000000001]",L2/3,nan
1251,136086170,t,87478932349475178,864691135334490601,87478932349477432,864691135462597021,1736,[164958 139886  19227],[164902 139938  19234],[164916 139916  19228],"[608.553667111277, 218.25188198743604, 769.0800000000002]",L2/3,nan
1268,114778927,t,85577326855137841,864691135654315970,85577326855123493,864691135462597021,13648,[151414 127236  18273],[151348 127178  18260],[151304 127226  18270],"[558.9939037304902, 163.12268074489648, 730.9200000000002]",L2/3,nan
1277,111007780,t,85085020725076964,864691135737165188,85085020725085648,864691135462597021,17356,[147734 129536  19811],[147812 129536  19813],[147810 129480  19819],"[543.5280849413012, 171.00473943409506, 792.4400000000003]",L2/3,nan
1293,128848467,t,86843827079673003,864691135800052578,86843827079689040,864691135462597021,3860,[160616 126230  20210],[160548 126196  20217],[160604 126152  20214],"[596.0125528866678, 162.3220218588311, 808.4000000000002]",L2/3,nan
1294,132242164,t,86845201401885006,864691136273638925,86845201401889880,864691135462597021,1532,[160488 136888  19535],[160460 136750  19541],[160480 136822  19537],"[591.7868775764266, 204.7471704875916, 781.4000000000001]",L2/3,nan
1297,121821296,t,86562420554295981,864691135155877476,86562420554272573,864691135462597021,3672,[158494 126754  18433],[158530 126884  18428],[158500 126826  18435],"[587.3741738524659, 163.67026800158928, 737.3200000000002]",L2/3,nan
1309,150108040,t,88394001036120547,864691136672763783,88394001036117783,864691135462597021,9040,[171662 141870  20452],[171586 141928  20452],[171618 141934  20454],"[634.57595616086, 228.49485150901327, 818.0800000000003]",L2/3,nan
1357,125513919,t,86213806782668506,864691136602014673,86213806782665287,864691135462597021,4300,[155912 150766  19129],[155980 150814  19129],[155932 150830  19130],"[568.7143402311473, 258.45263185280754, 765.1600000000001]",L2/3,nan
1362,111287159,t,85227132602774567,864691135099868448,85227132602767103,864691135462597021,2188,[148920 139820  19626],[148896 139812  19626],[148928 139784  19627],"[544.6687939553808, 212.39767137839198, 785.0400000000001]",L2/3,nan
1376,103790324,t,84736131874609244,864691136286581955,84736131874617097,864691135462597021,16548,[145218 151372  19323],[145222 151486  19324],[145202 151455  19320],"[525.8898503051544, 257.13923374920796, 772.9200000000002]",L2/3,nan
1387,118524480,t,85789807745202454,864691135385576021,85789807678686789,864691135462597021,23832,[152772 137792  19976],[152710 137796  19967],[152716 137828  19973],"[560.7251692487474, 205.65943567172758, 799.0400000000003]",L2/3,untuned
1394,100888306,t,84595875422632751,864691135181822978,84595806703152985,864691135462597021,2212,[144094 154838  19352],[144046 154762  19361],[144084 154764  19361],"[520.2026317250804, 270.5586248241586, 774.0800000000002]",L2/3,nan
1407,102285831,t,84453007495989787,864691135415928762,84453007495991870,864691135462597021,3444,[143238 139112  18065],[143136 139122  18063],[143210 139148  18063],"[522.274105920613, 207.59557227222732, 722.6000000000001]",L2/3,nan
1422,118525952,t,85930270355740763,864691136051104499,85930270355739330,864691135462597021,5336,[154038 135550  20027],[153930 135482  20028],[153999 135526  20025],"[566.551511900845, 197.166918300515, 801.0800000000003]",L2/3,nan
1430,150446356,t,88605313426998050,864691135754910674,88605313426992146,864691135462597021,3872,[173428 143216  20370],[173374 143286  20364],[173350 143224  20365],"[641.1438289892266, 234.47403193030863, 814.8000000000003]",L2/3,nan
1526,93269023,t,84242176074345656,864691135571285285,84242176074355836,864691135462597021,3888,[141482 141036  17622],[141438 141022  17628],[141460 140994  17626],"[514.6060837650305, 214.65010473168195, 704.8800000000001]",L2/3,nan
1548,118066584,t,85718133197232674,864691135865951109,85647764453054767,864691135462597021,4240,[152126 128134  19383],[152034 128126  19382],[152091 128135  19384],"[561.5180028027058, 166.9492316557874, 775.3200000000002]",L2/3,nan
1595,124823803,t,86211539375720854,864691135407323081,86211539375718342,864691135462597021,3780,[156118 134184  21918],[156176 134252  21924],[156162 134222  21926],"[575.3160707673416, 192.44884624980222, 876.7200000000003]",L2/3,nan
1612,123740338,t,86281358028143287,864691135850456519,86281358028153930,864691135462597021,10636,[156374 129766  18987],[156366 129834  18998],[156356 129818  18995],"[577.8763904240241, 174.93334102569852, 759.4800000000001]",L2/3,nan
1623,102286337,t,84523307520749826,864691135753656269,84523376240240495,864691135462597021,592,[143732 138906  18126],[143742 138992  18124],[143738 138926  18133],"[524.3144029760664, 206.94692758866918, 725.0400000000001]",L2/3,nan
1628,116149798,t,86070526673820250,864691135771814219,86070595393285120,864691135462597021,2368,[154736 132280  19267],[154676 132392  19261],[154700 132358  19261],"[570.4728846130565, 184.38003048322648, 770.6800000000002]",L2/3,nan
1663,132913276,t,86845338774043231,864691136388263287,86845338774036453,864691135462597021,9116,[160712 137644  19289],[160670 137570  19285],[160681 137623  19285],"[592.415909059848, 207.83775480012298, 771.5600000000002]",L2/3,nan
1671,144626065,t,87894891408960319,864691136237765692,87894891408955656,864691135462597021,5300,[168448  93312  19480],[168396  93324  19476],[168436  93368  19477],"[638.6973113475555, 33.88148868049343, 779.2000000000002]",L1,nan
1688,117022451,t,85998508729335331,864691136783396462,85998508729342706,864691135462597021,432,[154288 119776  19812],[154360 119750  19820],[154286 119774  19816],"[573.046885343343, 134.39817337246595, 792.4800000000002]",L2/3,nan
1737,146390422,t,87899289589710082,864691135968875877,87899289589701605,864691135462597021,13808,[168246 126136  20494],[168196 126140  20497],[168242 126134  20498],"[626.449185631701, 164.60744592100713, 819.7600000000002]",L2/3,nan
1739,139710251,t,87408426434516687,864691135472294194,87408357715030375,864691135462597021,9212,[164398 138460  21034],[164490 138378  21028],[164434 138384  21026],"[606.8193273441843, 212.37435856576596, 841.3600000000002]",L2/3,nan
1742,128831222,t,86844857938856770,864691135687221216,86844857938841608,864691135462597021,4452,[160438 134142  20667],[160296 134052  20658],[160366 134114  20665],"[592.5449573151486, 193.7875367752023, 826.6800000000003]",L2/3,nan
1746,128934835,t,87055826799421913,864691135799954786,87055758079956286,864691135462597021,824,[162112 132826  21070],[162158 132786  21082],[162104 132810  21074],"[599.6742648433946, 189.12716273788578, 842.8000000000003]",L2/3,nan
1770,124586009,t,86213531904831865,864691135476164776,86213531904823946,864691135462597021,2640,[155756 148894  19219],[155758 148998  19212],[155746 148934  19216],"[568.7453369412325, 250.93874077002198, 768.7600000000001]",L2/3,nan
1818,156580007,t,89091915974592804,864691136451258367,89091847255074348,864691135462597021,3096,[176922  98534  19809],[176946  98452  19800],[176902  98489  19809],"[670.6438176795602, 57.64423459040845, 792.3600000000002]",L1,nan
1827,151819161,t,88740140973175465,864691135467585676,88740140973172700,864691135462597021,1604,[174494  99384  19796],[174398  99352  19797],[174472  99376  19799],"[660.6724452463512, 60.18483999035514, 791.8400000000003]",L1,nan
1839,105239314,t,84663426802164052,864691135888479369,84663426802171003,864691135462597021,8704,[144608 133880  20090],[144640 133930  20098],[144670 133881  20097],"[529.5572482503787, 187.2248231008205, 803.6000000000003]",L2/3,nan
1854,146392172,t,87901694503457154,864691135012400374,87901694503468576,864691135462597021,9920,[168166 143860  18905],[168220 143816  18920],[168208 143842  18914],"[619.9514097904736, 235.20577539924037, 756.2000000000002]",L2/3,nan
1867,152966820,t,88392076756298575,864691135233441369,88392076756302334,864691135462597021,5500,[171690 127426  19175],[171592 127318  19172],[171614 127366  19170],"[639.7230401600349, 170.94846807525232, 767.0000000000001]",L2/3,tuned
1871,111286982,t,85226995163868605,864691135939961766,85226995163868062,864691135462597021,736,[148642 138764  19645],[148734 138854  19639],[148733 138769  19642],"[543.9291713084689, 208.09282778771706, 785.8000000000002]",L2/3,nan
1887,102153265,t,84874945150501122,864691136361628642,84874945150497614,864691135462597021,3908,[146340 137246  18795],[146302 137274  18797],[146336 137268  18800],"[535.2854201984039, 201.24140350168355, 751.8000000000002]",L2/3,nan
1905,123398011,t,86422851498345051,864691135974639471,86422851564869117,864691135462597021,4900,[157662 135488  19968],[157696 135464  19970],[157696 135470  19972],"[581.0139648685844, 198.18327166225836, 798.7200000000003]",L2/3,nan
1920,117834482,t,85929308215973667,864691135334653929,85929308215978959,864691135462597021,4556,[153950 128350  19550],[153892 128292  19555],[153898 128368  19552],"[568.7109367582493, 168.44583217402553, 782.0000000000001]",L2/3,nan
1965,116354965,t,86071145216125370,864691135888682121,86071145216117664,864691135462597021,2580,[154954 136806  19709],[154902 136798  19700],[154920 136747  19703],"[569.7636988230889, 202.49113910515544, 788.3600000000002]",L2/3,nan
1998,144729864,t,88247903361335573,864691135952037923,88247903361338077,864691135462597021,2696,[170724 101776  19840],[170796 101700  19842],[170740 101740  19841],"[644.8159230525181, 68.40212226106226, 793.6000000000003]",L1,nan
2005,124645680,t,86349940133405579,864691135528023492,86349940133416097,864691135462597021,5408,[157086 116754  19840],[157160 116860  19841],[157098 116810  19840],"[585.2498350227195, 123.3316189347647, 793.6000000000003]",L2/3,nan
2011,116146529,t,85577945464627892,864691135338068966,85577945464622389,864691135462597021,2248,[151472 132160  19296],[151386 132108  19288],[151398 132128  19288],"[557.5084013912897, 182.7639516508289, 771.8400000000001]",L2/3,nan
2012,112143096,t,85437689348023370,864691135589181380,85437689348010463,864691135462597021,20248,[150164 135600  21762],[150116 135578  21753],[150172 135574  21757],"[551.0970477106657, 196.01559185051565, 870.4800000000002]",L2/3,nan
2083,124178034,t,86283145070053863,864691136371073416,86283076350596098,864691135462597021,11000,[156284 143076  21528],[156208 142960  21533],[156252 142998  21527],"[572.8775885888257, 227.93937068471388, 861.1200000000002]",L2/3,nan
2087,132118508,t,86774076743798402,864691135293284876,86774076743805518,864691135462597021,1116,[159974 130964  19842],[159920 130850  19842],[159938 130912  19837],"[591.8039437572984, 180.96214871452045, 793.6800000000003]",L2/3,nan
2092,145174321,t,88040439126526300,864691135585587396,88040439126523634,864691135462597021,3512,[169384 128890  18480],[169364 128924  18482],[169376 128882  18483],"[630.0237562353065, 175.97825965617324, 739.2000000000002]",L2/3,nan
