,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
666,158476859,t,89450219661647601,864691135865584517,89450219661635767,864691135684442807,12628,[179486 146920  22190],[179442 146800  22177],[179514 146868  22185],"[663.9923194288365, 251.34561053549714, 887.6000000000003]",L2/3
673,161142136,t,88957638586562687,864691135915170150,88957638586564921,864691135684442807,12696,[175788 146906  23159],[175778 146912  23160],[175832 146930  23155],"[649.2614881762572, 250.00061588568073, 926.3600000000002]",L2/3
692,168019597,t,89524367977134535,864691135474995008,89524367977128821,864691135684442807,1016,[180106 175234  22294],[180122 175120  22285],[180074 175140  22291],"[656.5919714794753, 364.3867835045902, 891.7600000000002]",L4
710,209093070,t,93041361808697380,864691135181689602,93041361808702246,864691135684442807,3168,[205808 164202  20320],[205760 164138  20325],[205790 164164  20319],"[762.85476461686, 329.3870114675989, 812.8000000000003]",L4
714,167903059,t,89665586568726784,864691135113494681,89665586568722472,864691135684442807,9752,[180918 178478  22575],[180992 178390  22578],[180966 178436  22581],"[658.6966789409836, 377.5964877594731, 903.0000000000002]",L5
719,164342247,t,89943419279481068,864691135884232560,89943487998944424,864691135684442807,3892,[183306 151748  22008],[183304 151876  22012],[183336 151818  22013],"[677.5310227117355, 271.91586229422916, 880.3200000000003]",L2/3
731,181980880,t,90717200587274220,864691135737765745,90717200587276578,864691135684442807,10028,[188732 149292  21784],[188750 149394  21781],[188758 149356  21786],"[700.0086504558718, 264.02087382077104, 871.3600000000002]",L2/3
734,161339915,t,89309619679565012,864691135739812244,89239250935371436,864691135684442807,912,[178238 147870  22834],[178194 147784  22836],[178220 147802  22841],"[658.6881236735213, 254.69606892044953, 913.3600000000002]",L2/3
766,157323288,t,89450838136846626,864691135407458505,89450838136848897,864691135684442807,10836,[179644 151372  22094],[179634 151486  22104],[179604 151424  22095],"[663.0698450111802, 269.14092814853154, 883.7600000000002]",L2/3
783,139581287,t,87690451435509026,864691135527748292,87690451435499845,864691135684442807,7796,[166538 142760  23106],[166556 142808  23098],[166512 142730  23105],"[613.8476751845898, 230.2549605308638, 924.2400000000002]",L2/3
788,202132831,t,92334788081893862,864691135987341571,92334856801366520,864691135684442807,8940,[200666 143022  19906],[200668 143110  19903],[200642 143040  19906],"[749.7488665920907, 243.19677732843238, 796.2400000000002]",L2/3
790,202205724,t,92403920143963311,864691135883848304,92474288888161058,864691135684442807,9252,[201176 133478  21987],[201332 133482  21988],[201254 133412  21990],"[755.1083614113326, 205.34384624928708, 879.4800000000002]",L2/3
794,166248270,t,89661257107860270,864691135366944761,89590888363690915,864691135684442807,13044,[180792 146182  21881],[180688 146196  21877],[180766 146232  21883],"[669.4537242842589, 248.86014538684424, 875.2400000000002]",L2/3
799,195790665,t,91772938243642070,864691135233289561,91772938243629229,864691135684442807,6788,[196406 151066  24118],[196432 151026  24110],[196402 151026  24113],"[729.9693857579587, 273.7652040778122, 964.7200000000003]",L2/3
807,191710448,t,92124231672130869,864691135361075698,92124162952635895,864691135684442807,4280,[198942 146728  20268],[198896 146618  20259],[198958 146698  20264],"[741.5871112235588, 257.3633415309565, 810.7200000000003]",L2/3
821,178139476,t,91064577810641997,864691136388375671,91064577810626983,864691135684442807,5132,[191222 116262  23897],[191254 116162  23889],[191214 116208  23893],"[721.4457663806862, 133.2717015066563, 955.8800000000002]",L2/3
863,168297079,t,89662012954740346,864691135945822756,89662012954766685,864691135684442807,2632,[181166 151836  21145],[181076 151886  21158],[181132 151830  21150],"[668.9729172746231, 271.5204696700376, 845.8000000000003]",L2/3
866,174465263,t,90574401649065412,864691135575097630,90574401649055952,864691135684442807,300,[187722 134234  23023],[187720 134182  23018],[187700 134220  23018],"[701.233588572758, 203.6659655646085, 920.9200000000003]",L2/3
873,167990098,t,89944931174991623,864691135385348437,89944999894493577,864691135684442807,7712,[183054 163008  22482],[183096 163056  22491],[183022 163054  22487],"[672.6013638027047, 316.69661850759184, 899.2800000000002]",L4
877,188744035,t,91630620140469423,864691135162388269,91700988884628092,864691135684442807,248,[195614 139028  23832],[195650 139068  23832],[195673 139086  23837],"[731.0101642791892, 225.52032758227392, 953.2800000000002]",L2/3
886,188883186,t,91420063596655548,864691135780794704,91420063596664046,864691135684442807,4292,[193828 143198  23313],[193786 143304  23317],[193818 143262  23309],"[722.439591566991, 241.51421452025505, 932.5200000000002]",L2/3
901,167488001,t,89661600772222416,864691135538046834,89661600772220101,864691135684442807,7856,[180830 149104  22300],[180852 149184  22300],[180848 149178  22300],"[668.5864695571343, 260.51691669103826, 892.0000000000002]",L2/3
912,189059741,t,91209232174909689,864691135432526322,91209232174924319,864691135684442807,6200,[192270 145282  22815],[192374 145178  22830],[192309 145264  22819],"[715.5047759369387, 249.2753389347444, 912.6000000000003]",L2/3
917,154085116,t,88743783642381702,864691135771789131,88743852361858056,864691135684442807,4028,[174600 126616  23901],[174492 126726  23907],[174544 126648  23904],"[651.6011310523253, 168.73529009901785, 956.0400000000003]",L2/3
919,167451386,t,89731694638204185,864691135293284876,89661325894017265,864691135684442807,2360,[181382 146770  22033],[181272 146806  22041],[181352 146844  22033],"[671.5997534648129, 251.40888286964042, 881.3200000000003]",L2/3
920,160071322,t,89305909096169369,864691135528334532,89305840376687574,864691135684442807,5812,[178588 120058  24850],[178674 120000  24857],[178666 120020  24855],"[669.7786983200413, 143.99341918698576, 994.0000000000002]",L2/3
932,158654478,t,89097757532555081,864691135256399279,89097757532542031,864691135684442807,7128,[176764 142172  22648],[176824 142240  22640],[176782 142230  22641],"[654.801013422277, 231.47692910230236, 905.9200000000003]",L2/3
950,187727035,t,91209506784115907,864691136379055061,91209506784111272,864691135684442807,1940,[192366 147250  20532],[192236 147212  20530],[192316 147272  20533],"[715.2012246940964, 257.15085140333764, 821.2800000000002]",L2/3
951,173729236,t,90084225218884171,864691135618117263,90084225218896424,864691135684442807,8012,[184314 151920  19961],[184268 151942  19958],[184258 151942  19963],"[681.487716583431, 272.9526562012749, 798.4400000000003]",L2/3
970,212258247,t,93529888836844919,864691135593789483,93529888836837191,864691135684442807,16212,[209090 134280  22019],[209008 134298  22018],[209083 134210  22015],"[786.3643051513902, 211.29864103318525, 880.7600000000002]",L2/3
989,166905135,t,89666273763580147,864691135925773070,89666273763593490,864691135684442807,1016,[181278 183792  22658],[181248 183794  22667],[181252 183839  22661],"[658.2786168383915, 398.8971065316678, 906.3200000000003]",L5
1002,166248046,t,89590819644202427,864691135118156253,89590819644200542,864691135684442807,5300,[180470 145808  21863],[180524 145816  21862],[180448 145817  21862],"[668.3010105042672, 247.2575815218399, 874.5200000000002]",L2/3
1006,168375780,t,89874287552580761,864691135884162160,89874287552588182,864691135684442807,916,[182482 160656  22148],[182508 160764  22154],[182488 160723  22155],"[671.1420315612406, 307.1250064485381, 885.9200000000003]",L4
1020,175008037,t,90365356933573701,864691135155513444,90435725677762010,864691135684442807,628,[186382 149220  22386],[186458 149268  22389],[186416 149238  22387],"[690.6695211477207, 262.9147057658927, 895.4400000000003]",L2/3
1042,138906796,t,87759239296477124,864691136208987836,87759239296467119,864691135684442807,2024,[167250 131028  20848],[167238 131106  20841],[167184 131068  20846],"[620.7748823804172, 183.75375529415982, 833.9200000000003]",L2/3
1043,189717804,t,91637629325750385,864691135468144978,91707998069925441,864691135684442807,5348,[195506 191686  22303],[195626 191624  22310],[195558 191652  22307],"[712.2220197631889, 435.3131579498675, 892.1200000000002]",L5
1050,164114007,t,89520794631234357,864691135396536865,89450425887043246,864691135684442807,632,[179810 148532  22563],[179720 148456  22559],[179762 148478  22567],"[664.7214075283265, 257.88202779139374, 902.5200000000002]",L2/3
1051,167531713,t,89802750778719110,864691136333736627,89802750778727318,864691135684442807,11368,[182134 151826  23803],[182224 151890  23805],[182156 151898  23807],"[672.8336693753442, 271.8180889180329, 952.1200000000002]",L2/3
1055,172727943,t,90220359239938802,864691136091301300,90220359239933766,864691135684442807,13564,[185182 117474  25132],[185192 117500  25126],[185124 117504  25126],"[696.9551714339491, 135.99557065822168, 1005.2800000000002]",L2/3
1057,175810987,t,90227849327695884,864691135476321448,90298218071887711,864691135684442807,3432,[185328 173762  22828],[185400 173682  22830],[185364 173700  22831],"[677.9136593465138, 360.3416982767392, 913.1200000000002]",L4
1060,144906144,t,88040576968092660,864691136065755032,88040576968094563,864691135684442807,1156,[169302 130076  21513],[169330 130140  21520],[169372 130114  21519],"[629.2835375307374, 180.67562022029918, 860.5200000000002]",L2/3
1068,137981091,t,87549026484068603,864691135581326788,87549026484072841,864691135684442807,3668,[165510 137438  21176],[165544 137548  21181],[165472 137516  21174],"[611.6066940376487, 208.68958338370845, 847.0400000000003]",L2/3
