id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
190486,864691136741630044,147152,134560,20161,7,4,5997
156919,864691135975516015,124928,155040,18077,6,2,4927
190624,864691136009494958,137568,130880,21362,9,6,2637
157031,864691135051460683,125056,143760,19075,8,5,5304
156925,864691136436952222,126240,155072,18252,6,2,4942
190622,864691135645354479,137296,137088,21332,9,6,5147
190622,864691135645354479,137296,137088,21332,8,5,2531
389725,864691134989526650,245248,101728,23724,6,4,1401
190619,864691135772593227,136208,133888,21446,7,4,5636
156936,864691136273807550,128608,147968,18720,6,7,3936
190620,864691135468467852,136848,136416,21714,8,5,2186
190620,864691135468467852,136848,136416,21714,9,6,5315
190608,864691136741444444,135312,131392,21725,9,6,2290
394542,864691135561461473,236000,155600,20613,9,3,5599
190032,864691135884824944,142560,130560,17279,9,4,7978
190032,864691135884824944,142560,130560,17279,9,4,5419
189773,864691135737641860,135680,138352,16036,8,5,2142
189875,864691135100414496,137024,135648,17003,7,4,5731
189875,864691135100414496,137024,135648,17003,7,3,2093
190010,864691135065886020,136880,133328,17506,9,6,2050
189826,864691136281922711,145760,133728,16404,5,3,2073
189859,864691135864756700,132896,136816,16967,7,4,6098
189821,864691135889555849,145424,138688,16269,4,7,3224
189941,864691135334962921,131504,127392,17844,5,7,2521
189869,864691135693707455,135408,135520,17158,7,4,5590
189881,864691136379307477,138208,139296,16991,8,5,5078
189921,864691136481342436,145296,140848,16920,4,7,3821
189782,864691135841699299,136752,137744,16437,8,5,2140
190016,864691136085014636,139312,134704,17394,9,6,2396
190053,864691135754758349,146544,139408,17349,9,6,5158
190053,864691135754758349,146544,139408,17349,8,5,5044
189946,864691136116670628,133216,141264,17371,4,7,3566
189853,864691135837796499,131872,140208,17033,8,5,5383
190102,864691135701176699,136320,135584,18417,5,3,2792
190102,864691135701176699,136320,135584,18417,9,6,2150
190040,864691135909751977,144416,140016,17309,9,6,4799
189879,864691135257003439,137888,129072,16584,9,4,8280
488639,864691135848482398,285600,130800,19506,4,7,3759
190073,864691136601595857,131440,143024,18324,4,7,3552
189947,864691135926537998,133088,137456,17748,7,4,5593
190085,864691136951622111,133472,135712,18174,9,6,2330
189912,864691135182756610,143968,130064,16802,9,4,8207
189848,864691135584763000,130832,138016,17088,8,5,2175
189848,864691135584763000,130832,138016,17088,7,4,5589
189888,864691136040281598,139136,134464,17184,9,6,2047
189922,864691135208425593,145648,132944,16794,9,6,2012
190097,864691135762426166,136096,135360,18079,9,6,2219
189814,864691135383759595,143664,138736,15875,4,7,3220
190100,864691135502517826,136192,140816,18131,8,5,2149
190100,864691135502517826,136192,140816,18131,8,5,2537
190026,864691135759389006,141168,130368,17623,9,4,7674
189860,864691137020554094,133184,140944,16658,4,7,3527
156908,864691135919322800,123648,151856,18612,6,4,4533
190091,864691135952850467,134256,136064,18447,9,6,2570
190011,864691135645452527,136928,138816,17540,7,4,6142
190021,864691135741186411,140048,137168,17941,7,4,6000
189942,864691135952235811,131808,141776,17899,8,5,2177
189836,864691135754054861,146496,141040,16438,4,7,3194
190077,864691136391264383,132448,141344,18213,8,5,2176
190072,864691136091348148,131584,130800,18091,9,4,4863
190020,864691135342106289,139536,134064,17663,9,6,2051
190094,864691136371683976,135424,137728,18498,7,4,5592
188752,864691136210052028,139392,116368,20440,6,4,1711
190069,864691135730949561,131072,130352,18703,9,4,5387
190113,864691137020429934,137600,129664,18566,9,4,4865
190113,864691137020429934,137600,129664,18566,9,4,2051
190111,864691135616603241,136912,143280,18632,4,7,3341
189871,864691136137411709,135888,139888,16916,8,5,2145
189871,864691136137411709,135888,139888,16916,8,5,5077
188913,864691135013336054,133856,114896,22425,6,4,2089
188913,864691135013336054,133856,114896,22425,7,4,2430
188878,864691135610582791,141568,115696,21839,6,2,1878
188870,864691136275130125,140112,116976,21815,7,4,2374
188678,864691136966932942,145248,115344,19859,6,6,1869
188921,864691137198176577,136304,125440,22082,9,4,5309
188910,864691135082847991,132848,113088,21920,6,6,1579
188818,864691136813003492,134496,119280,21248,6,2,1897
188873,864691135591168267,141552,113248,21474,6,4,1850
188917,864691135517195219,134960,124928,22299,9,4,4904
188866,864691135576456990,139536,123456,21677,9,4,2492
188903,864691135776643936,131200,125440,21940,9,4,7847
188831,864691135700879995,136384,114448,21162,6,6,1748
188689,864691135386196565,146384,126928,19997,9,4,5140
188689,864691135386196565,146384,126928,19997,9,4,2591
188916,864691135256996015,134576,115616,21926,7,4,2601
188916,864691135256996015,134576,115616,21926,6,4,1952
188659,864691135684838327,141584,123088,19859,9,4,2182
188626,864691135755404498,136528,118640,20177,6,2,2167
190112,864691135516483795,137200,143248,18388,8,5,5167
190112,864691135516483795,137200,143248,18388,4,7,3574
188906,864691136724459773,131984,116880,22125,7,4,2594
188923,864691134989347962,136512,117344,22517,6,2,1928
188923,864691134989347962,136512,117344,22517,7,4,2668
452381,864691135213976632,263792,110800,19411,6,2,1936
452381,864691135213976632,263792,110800,19411,7,4,2514
452381,864691135213976632,263792,110800,19411,5,7,1566
188890,864691135303746727,145280,114880,21413,6,4,1965
188944,864691135969765733,139792,112272,22444,6,4,1729
190110,864691136444457603,136704,135184,18738,9,6,2311
188935,864691136389410320,138512,112832,22298,6,4,1784
190092,864691136389170295,134176,130672,18610,9,4,4866
188656,864691135841898211,141216,120224,20139,6,2,1874
188956,864691135778037181,142432,112720,22296,6,4,1882
188722,864691136124463142,133600,118192,21044,6,4,1926
190653,864691135761545270,143264,128832,21435,9,4,7713
190805,864691135293853452,133856,128224,23012,9,6,2116
190671,864691136371664264,145824,143264,21303,6,7,4348
190945,864691136379814101,145488,142624,23770,6,7,4565
