id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
45870,64224,4P,864691136040275454,97072,117072,20772
19216,64273,23P,864691135564692823,89584,120560,21470
43127,64274,23P,864691136301453207,89920,119872,21195
43365,64220,23P,864691135387547777,96128,122528,20840
39490,65497,23P,864691136116969892,96384,113264,22621
35444,64914,23P,864691135693567679,97776,118064,22399
44531,64283,23P,864691136443710595,92640,115664,21394
12031,64284,23P,864691135415501242,92880,122144,21761
39496,64300,23P,864691135118645469,95120,117920,21624
26429,64292,BPC,864691135719217577,94128,117024,21768
18905,64307,23P,864691136990415509,97792,117584,21649
4366,64306,23P,864691135194439210,97792,121280,21252
38685,64221,BPC,864691135360986951,96064,125728,20348
6109,64215,BPC,864691135582052717,94816,125552,21033
10721,64902,23P,864691135385328213,96672,124672,22268
10120,295460,4P,864691135661410544,185088,157776,15691
8044,452835,23P,864691135938479413,262192,101712,24371
45055,64212,23P,864691135807805725,94496,124720,20343
35716,64216,23P,864691135577755141,95280,116304,20665
28052,64270,23P,864691136578359060,88944,114224,21143
43447,64276,23P,864691135919313840,90992,117088,21697
20506,65511,23P,864691135577249029,97968,116960,23017
11176,64263,4P,864691136124217382,84480,126048,21378
18318,65505,23P,864691135582044269,97392,122128,22691
3859,46673,6P-IT,864691135475361856,81424,251520,20676
30492,47076,5P-IT,864691135780809296,77520,246112,21306
11524,330484,23P,864691134940687715,197968,152000,22230
43169,47165,23P,864691136309652058,81328,249520,21467
42721,48364,6P-IT,864691135208178041,76992,263904,20541
10071,322884,NGC,864691135195217706,204992,89328,23095
11064,33348,23P,864691135954545928,75568,174864,19770
816,59543,NGC,864691134964439071,90400,105104,15337
23019,60337,4P,864691135182598658,95920,107120,16973
41424,59922,NGC,864691136143611799,96608,107600,16253
32619,60092,NGC,864691135855643182,86464,107232,17091
47446,60293,NGC,864691134948430076,94352,103760,16711
41473,60464,NGC,864691136144835991,81856,105056,17313
26543,67767,23P,864691135724409003,83184,142176,21311
9801,24074,5P-PT,864691136423416111,79600,141024,15066
12848,68220,23P,864691135445806994,94448,131520,21868
634,67768,23P,864691134947433212,83232,139664,21517
6493,68238,23P,864691136137608061,95408,141488,21877
9784,67770,BC,864691136903578290,83600,134736,21473
4370,67774,23P,864691135194441514,84192,138624,21341
33539,68231,5P-PT,864691136444614787,94944,136512,21906
6139,204524,6P-IT,864691136741451868,133248,256736,17436
31052,67813,23P,864691135568681708,92624,137360,21618
33574,67817,23P,864691135875959379,92960,138928,21132
25686,67797,23P,864691135590800395,89840,133456,21524
32638,68260,23P,864691135865535196,97632,140432,22391
6342,585835,23P,864691135349275351,338864,157856,20916
17245,67838,23P,864691135508707849,98064,135376,21173
16970,67807,23P,864691136724612605,92064,138784,21341
14529,68268,23P,864691136273890494,98368,135152,22349
30118,68247,23P,864691135776654176,96352,130144,22250
47282,61063,NGC,864691136619354253,91600,110336,18311
26939,68261,23P,864691135730192825,97568,143168,22401
9971,67760,BPC,864691135975576431,81904,133744,21268
19896,68180,6P-CT,864691135571115757,92080,138736,21856
37077,67773,23P,864691135987283715,84016,128176,21086
3011,67796,23P,864691135446267026,89856,138752,21497
13888,155604,23P,864691135416417466,117872,138352,24114
34285,679142,6P-IT,864691136085144684,367696,251600,25456
28666,41506,NGC,864691135938504245,81456,212944,21057
4502,41279,6P-IT,864691135207740793,75408,215328,19769
17355,41330,6P-CT,864691135510410704,78000,215440,20124
4462,41278,6P-CT,864691136089509431,75456,219632,20170
3521,41180,6P-CT,864691136089529655,69536,211504,19846
9418,41277,5P-NP,864691135570114182,75264,213968,19959
30792,41488,NGC,864691135783617871,77952,209440,20489
23865,41855,6P-CT,864691135657809538,81136,221376,21408
15895,258949,23P,864691136812745075,171872,141280,24266
13547,64905,23P,864691135213798712,97104,115568,22113
16612,41859,4P,864691135122878759,81872,212720,21305
36589,191871,BPC,864691135867519510,132976,151120,17530
5956,43915,6P-CT,864691135272175377,78768,231904,20061
32822,43919,NGC,864691135858706024,79232,227296,20116
6408,207847,6P-IT,864691135856764462,133008,271936,22661
15621,455044,23P,864691137197706305,266352,131552,16081
30789,44228,6P-CT,864691135783324495,79744,226960,21059
21880,46245,6P-CT,864691135275023333,79152,252416,20264
17791,44236,5P-IT,864691135517355146,81376,241520,20575
19562,44696,4P,864691135568901510,79184,240848,21380
29751,44743,6P-CT,864691135773268815,81984,239168,21541
41131,44233,6P-CT,864691135208181881,80688,226976,20727
4150,46219,6P-CT,864691135118456285,76896,252672,20275
8236,46232,6P-IT,864691135865413596,78672,248784,20089
7108,46204,BPC,864691135292842934,75184,249872,19804
45669,44225,6P-CT,864691136594783394,79328,238336,20349
20449,70982,23P,864691135104876365,87616,150208,20718
4512,70966,23P,864691135207748985,85296,144368,20940
1228,70967,23P,864691135012403190,84848,159936,20665
23880,70968,5P-PT,864691135657839746,85744,152384,20931
10577,70978,23P,864691135385260117,87152,159104,20602
34914,198781,5P-PT,864691135182649858,137552,194080,18108
9405,33533,6P-CT,864691136024804409,80352,175232,20967
34012,70987,23P,864691135909730217,87712,151872,20973
36542,71002,23P,864691135323986332,90336,150576,20599
44456,71025,4P,864691136379811029,91440,144784,20314
11421,71166,BC,864691136137645181,96288,158880,21712
14673,71038,23P,864691135359592280,93984,152608,21003
33171,71044,23P,864691135865500549,94560,156144,20983
21010,33530,5P-IT,864691135479084486,80112,172736,20994
5788,71096,23P,864691135269778085,83904,152144,21449
7560,71119,23P,864691135526872923,87312,145424,21475
6362,71035,23P,864691136724564989,91968,146048,20449
9786,71134,4P,864691135373656393,89168,157696,21080
4101,71137,5P-PT,864691135181799938,90448,148096,21515
7306,71143,23P,864691135334527209,90528,155488,21480
30320,70979,23P,864691135938064900,87264,155040,20584
41468,71033,23P,864691135335295465,92032,151536,20500
39592,71161,4P,864691136021177592,94944,159376,21444
21613,33491,23P,864691135589883403,74288,172064,20918
34093,33512,6P-CT,864691135909788329,76192,163856,20738
14256,33513,23P,864691135469383609,76208,166272,20897
37131,33516,6P-IT,864691135988291584,76816,170672,20707
27952,33519,4P,864691135748544297,77360,171952,20849
43358,71171,5P-IT,864691136741426012,97648,147920,21296
4936,33527,23P,864691135212663168,79360,164720,20629
18293,33529,4P,864691135538107506,80272,165040,20831
28624,71036,23P,864691135584636024,92304,146624,20908
8844,70970,23P,864691135213680768,86256,143856,20686
44362,203320,6P-IT,864691136379737557,133776,239376,22014
16155,33538,5P-PT,864691135335159273,81328,159856,20858
41707,33810,6P-CT,864691136194056406,76592,168112,21440
31524,33816,NGC,864691135809459916,76832,162576,21505
40551,33847,23P,864691136105450969,78816,175088,21291
22810,33892,23P,864691135622527401,80992,161440,21434
10483,36496,4P,864691135293852172,76080,179328,20906
32375,36278,6P-CT,864691135850447559,70848,184320,20186
19071,360623,23P,864691135954606600,224112,139920,15816
16390,36296,5P-PT,864691135497605139,72880,181680,20153
17195,36297,5P-IT,864691135508678153,73088,189456,19949
33520,36372,5P-IT,864691136100788341,76336,177792,20074
16225,204432,6P-CT,864691135349067735,136784,248944,16597
15757,36359,23P,864691135490582247,75296,180144,20089
33628,36498,6P-IT,864691135387492225,77040,177632,20843
37838,36757,5P-IT,864691136619225741,76544,187664,21305
30648,36410,6P-CT,864691135969774181,80080,177104,20244
32344,36402,23P,864691135850416327,78960,190208,20203
17824,36477,6P-CT,864691136522739345,72656,188016,20347
40675,36420,23P,864691136108735160,82064,190560,19896
8542,36468,5P-IT,864691135348291031,72768,185216,20852
11400,36469,23P,864691135396396577,72416,179440,20998
34734,36489,5P-PT,864691135937334325,73456,181296,20858
4836,36508,NGC,864691135212594560,78864,190848,20586
8121,36526,5P-IT,864691135345111455,80432,184832,20556
11719,36681,6P-CT,864691135407137118,71648,177584,21546
17831,36775,6P-CT,864691135517547204,77216,192544,21098
12208,36861,4P,864691135428494128,81616,182800,21229
1076,36866,4P,864691134988456826,81856,178864,21269
29605,36376,4P,864691135272778001,76544,188448,19897
2676,36239,6P-CT,864691135545066280,67760,189408,20078
1994,36494,5P-IT,864691135345892511,76048,185648,20675
20421,368344,5P-IT,864691135864798078,214384,183936,24391
11963,38712,6P-CT,864691135415460794,75392,194944,20085
42617,38805,MC,864691136272926142,80640,198800,19958
46491,44677,6P-CT,864691136117007268,78208,227200,21336
32338,38917,6P-CT,864691135850414023,75392,202288,20665
23099,38923,6P-IT,864691135644557807,77184,195088,20819
17932,38944,BC,864691135525042884,79696,194768,20892
8674,38954,NGC,864691135354188274,80592,200144,20633
2811,38932,5P-IT,864691135494855312,78416,201376,21022
7549,70095,23P,864691135464422213,91968,146560,15231
31763,70276,23P,864691136227776081,84800,152576,16814
44533,39163,5P-IT,864691136443711107,79232,208896,21406
40596,70214,23P,864691136144433460,94464,146064,16246
11621,70234,23P,864691135808122141,95968,145024,15863
4099,70025,23P,864691135181798658,85216,149168,15425
28580,70028,23P,864691135754557138,86128,158672,14998
11698,559491,5P-IT,864691135661411312,320896,174496,26538
14943,39124,5P-PT,864691135684095218,74064,196112,21288
18618,26425,23P,864691135851384519,72432,128944,20004
26128,70085,23P,864691135715219738,90640,151568,15082
13846,70087,23P,864691136379795413,90464,152576,15289
22247,70094,23P,864691135612901033,91248,157840,15294
17154,39135,6P-IT,864691135341807045,74976,192960,21377
4514,70118,4P,864691135207750009,94704,149680,14860
25505,70123,23P,864691135697398037,95936,147408,15240
30055,70126,5P-IT,864691135776621664,97648,151872,15307
30791,70142,23P,864691135783455084,82592,154656,16410
34007,70152,23P,864691135907392744,85408,157760,15733
30620,70160,23P,864691135782274924,85824,153520,15745
13981,70161,23P,864691135467556748,86336,159344,15858
13538,70180,23P,864691135462727486,89248,155840,16114
34003,70215,6P-IT,864691136089440567,93712,145232,16444
30433,70204,23P,864691135778801516,92336,156000,15958
21764,70164,23P,864691136310186074,85904,155280,16451
48062,70246,23P,864691136922760164,96496,157248,15946
22813,70151,23P,864691135516731091,85072,148096,16017
43444,70248,23P,864691136325560471,97504,155936,16226
21691,70124,23P,864691135463230109,96144,153520,14987
14165,70259,4P,864691135468172114,81856,156784,16623
9800,70268,23P,864691135373662537,83872,144384,16779
17545,70270,23P,864691135512004292,83920,151824,17113
12549,70040,6P-CT,864691135491341799,86448,151648,15364
25927,70172,23P,864691135341870277,88192,143872,15847
41551,70280,23P,864691136175028486,86144,147424,16894
26544,70114,23P,864691135293943308,94432,146336,15609
3467,70082,23P,864691135441276488,89760,147840,15536
30060,70183,23P,864691136578365204,89616,156784,15890
618,70018,23P,864691135740926571,83552,146080,15427
27261,70111,23P,864691136362301922,93760,158272,15560
3045,70207,23P,864691135856493870,93104,150400,16337
5488,70109,23P,864691136578253076,93712,148000,15143
46766,70099,23P,864691135374401992,92656,150816,15306
8739,70149,23P,864691136312809277,84544,150448,15746
19836,61614,NGC,864691135570726893,96208,109568,18934
22902,62169,BPC,864691135635284905,83952,107488,21181
23779,62182,5P-PT,864691135655243411,85824,104112,21127
23874,70096,23P,864691135584609656,91488,153568,15679
32387,63501,23P,864691135941982324,82272,125504,15665
27260,63553,23P,864691135851434183,86032,118384,15236
41087,63497,23P,864691136129847377,82016,124448,14882
38690,63557,BPC,864691136020300024,86496,121824,14884
8248,63566,23P,864691135345194399,86976,121344,15662
42498,63567,23P,864691136266014948,87488,122848,15285
39351,63526,23P,864691135294019852,84416,126448,15403
13654,63572,23P,864691135462768446,89008,122016,14912
30086,63574,NGC,864691135776638048,89696,119760,15034
43429,63579,23P,864691136318254743,90528,121248,15534
43011,63582,23P,864691136296697371,91616,124608,15172
18674,63045,23P,864691135544654120,98016,107952,24902
47419,63603,23P,864691136822810084,95120,122448,15028
31436,63587,23P,864691135502653021,92384,125360,15525
21708,63614,23P,864691135589946123,97744,120512,15562
10618,63772,23P,864691136005585098,97600,119984,17153
41392,63650,23P,864691136143406388,89040,126944,16299
45931,63652,23P,864691136618416013,89904,126560,15811
16493,63655,23P,864691135497655827,90784,124112,16249
20972,63823,23P,864691136423497263,91152,115712,17277
35955,63687,23P,864691135749451561,96272,122320,16108
2255,63750,23P,864691136089801271,92128,121280,16805
42998,63765,23P,864691136923653860,96688,118336,16824
3490,63688,23P,864691135134711833,96928,117296,15930
