id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
127995,129157,neuron,864691135113640857,101536,228688,16523
127996,492006,neuron,864691135944230346,293808,150992,27271
127997,159438,neuron,864691135454777194,119440,174512,20403
127998,668072,neuron,864691135774674109,373968,194064,18559
127999,156473,neuron,864691135387626881,123184,154912,15751
128000,195494,neuron,864691135571603749,141696,170944,25372
128001,491416,neuron,864691135013512694,281856,154272,23902
128002,571440,not-neuron,864691136031636667,319664,259968,27136
128003,454904,not-neuron,864691136198395740,265872,130592,15603
128004,430083,not-neuron,864691135494076816,253216,186640,19157
128005,438444,not-neuron,864691135914942305,250224,257696,22966
128006,493043,not-neuron,864691135440517448,293248,160992,19674
128007,388908,not-neuron,864691135322956188,231584,99632,15714
128008,533184,neuron,864691135704408724,306048,222288,24536
128009,517428,neuron,864691136297737243,309280,102496,25678
128011,420763,not-neuron,864691135994865578,245552,98624,23193
128012,664449,neuron,864691135968907621,368304,182288,17850
128014,583337,neuron,864691135491348455,329824,131760,17232
128015,674514,neuron,864691135508724489,369344,233872,18072
128016,332200,neuron,864691136266412532,202608,165712,17694
128017,157742,neuron,864691136194512460,121680,149568,23467
128018,330239,not-neuron,864691135354950095,210560,159136,19537
128019,233453,neuron,864691135568693228,148608,223664,15412
128020,765037,neuron,864691135856159230,401072,225536,26456
128022,256461,neuron,864691135568858604,177376,123408,20764
128023,339382,neuron,864691135772613115,208784,215040,18680
128024,394912,neuron,864691135502074690,241376,150448,22458
128025,748053,neuron,864691135135060761,406576,121440,27627
128026,238358,not-neuron,864691135945513508,147648,252928,19716
128027,561155,neuron,864691135776949600,326944,188000,25461
128028,326569,neuron,864691137198252609,198432,120224,24515
128029,405359,neuron,864691136904294322,237104,235856,18623
128030,564590,not-neuron,864691135780836688,323600,219360,22460
128031,239374,not-neuron,864691135614117951,150352,246256,27130
128032,565719,neuron,864691135697659413,313584,227296,19430
128034,751558,neuron,864691135294018572,396736,134944,27582
128035,623554,not-neuron,864691136011005859,346304,236640,19926
128036,611492,neuron,864691136211527870,350528,125296,27805
128037,143191,not-neuron,864691134318343257,99232,295984,21369
128038,400179,not-neuron,864691135279621168,242832,195424,14900
128039,259446,neuron,864691135926514702,169888,147280,14901
128041,388864,neuron,864691135583342403,237536,109248,15103
128042,612803,neuron,864691135334507497,358352,134688,23278
128043,708531,neuron,864691134991860122,378000,196208,16916
128044,429753,neuron,864691135472913970,255104,190384,17117
128045,508156,not-neuron,864691135233403737,285088,288416,23906
128046,403799,neuron,864691136109463480,230560,212224,21382
128047,230572,neuron,864691136065285784,154544,191472,21977
128048,620785,not-neuron,864691135212642688,347520,216064,14854
128049,191999,not-neuron,864691135345232799,132288,144224,18313
128050,165142,not-neuron,864691135272653073,125072,202720,23066
128051,669977,neuron,864691136617132763,364928,205408,25806
128052,280278,not-neuron,864691136820178542,177728,274416,23593
128054,659191,neuron,864691135208402297,373536,148064,24941
128055,714690,neuron,864691135172724295,377312,215712,19463
128056,405332,neuron,864691136907324270,232688,230656,18383
128057,246828,not-neuron,864691136078202125,157344,294992,23776
128058,155770,neuron,864691136309699418,129984,129184,24475
128059,194292,neuron,864691135257319599,133552,162544,18731
128060,159885,neuron,864691135855668782,125744,174000,23118
128061,421851,not-neuron,864691135461588632,254672,115664,18133
128062,264676,not-neuron,864691135839447167,175664,177328,20058
128063,257387,neuron,864691135657776514,169776,131936,15079
128064,679225,not-neuron,864691135382900459,361136,243600,26197
128065,292090,not-neuron,864691135109247934,189552,120384,16541
128066,532404,neuron,864691135851562439,298352,219952,20252
128067,538251,not-neuron,864691136733855154,299760,268256,18935
128068,568273,neuron,864691136274153997,324896,242752,23311
128070,580905,neuron,864691136237644604,333376,104416,20065
128071,553365,neuron,864691136487224850,316592,117360,20346
128072,436953,not-neuron,864691136602257617,249056,248464,15634
128074,433621,neuron,864691136723576061,253472,224320,16611
128076,30151,neuron,864691135909199080,73088,159632,20415
128077,403743,not-neuron,864691136014266018,240640,220240,20768
128078,268471,not-neuron,864691135568306412,172992,214752,16856
128080,64914,neuron,864691135693567679,97776,118064,22399
128081,339685,neuron,864691135741194091,210704,219472,19621
128082,265342,not-neuron,864691136617104859,176112,188592,24872
128083,173843,not-neuron,864691135790435004,123568,260240,16822
128084,610877,neuron,864691136619139981,344576,116176,22924
128085,594751,neuron,864691136286577347,341040,239856,22509
128086,536937,neuron,864691135969894245,301600,257936,25314
128087,63686,neuron,864691136923783140,95984,124992,15787
128088,572607,not-neuron,864691136311750717,315552,276544,19812
128089,191639,neuron,864691135737718404,132352,156032,16087
128090,228465,neuron,864691136389831952,150800,165168,23256
128091,486017,neuron,864691135910947497,289808,103280,25341
128092,621027,neuron,864691136111178966,353408,217376,16457
128093,400935,neuron,864691136144534580,244112,206688,19444
128095,275011,not-neuron,864691135488245050,177872,272672,16008
128096,727104,neuron,864691135870261601,377776,251888,24381
128097,614787,neuron,864691135654074818,360288,148784,22993
128098,615241,neuron,864691135234030937,347344,154224,26693
128099,204639,neuron,864691136136580221,143248,248528,17576
128101,516334,not-neuron,864691135858703976,306704,84336,25946
128102,73859,not-neuron,864691135939262209,85568,169808,19156
128103,310367,not-neuron,864691135782885939,184848,270432,17054
128105,333414,not-neuron,864691135615248075,203568,167856,23801
128106,500310,neuron,864691136274462989,282880,238768,16687
128107,233246,neuron,864691135660926192,154912,204512,27024
128108,410440,neuron,864691136273344958,230736,260896,22023
128109,462247,not-neuron,864691135341075653,265424,178320,23793
128110,313908,not-neuron,864691134823039161,187840,277696,18845
128111,587522,neuron,864691136011856035,330512,163776,21401
128112,174411,neuron,864691136371673736,118592,260352,19576
128114,164946,neuron,864691136066454424,117120,198736,22376
128115,554105,neuron,864691136310642778,324096,124880,27498
128116,272144,neuron,864691137197805377,164240,236144,25833
128117,522384,neuron,864691136041082966,302320,157184,21951
128120,489330,neuron,864691136907593838,294128,133744,23509
128121,189822,neuron,864691134948246268,145424,132688,16199
128122,242667,not-neuron,864691135132422802,149232,279856,16652
128123,374612,not-neuron,864691136116182948,216176,239504,25929
128124,455281,not-neuron,864691135181794562,270272,137168,17752
128125,370589,neuron,864691135916094822,217152,199680,26005
128126,520701,neuron,864691136297580315,309680,136560,24441
128127,393167,not-neuron,864691135749582889,238384,137488,24751
128128,558667,neuron,864691135082458359,316336,162864,19130
128129,614127,neuron,864691135516899795,354480,157968,18348
128130,397429,neuron,864691135859899752,235568,173648,25917
128131,192145,neuron,864691135859538280,147056,157136,17996
128132,393251,neuron,864691135777660861,231504,133280,25416
128133,407475,not-neuron,864691136090910132,241408,250448,18730
128134,311640,neuron,864691135571663909,184400,260496,22705
128136,161693,not-neuron,864691135118235613,123008,189296,19040
128137,638729,neuron,864691135355483343,362368,109760,17491
128138,525385,neuron,864691136032661947,309200,168880,22662
128139,764202,neuron,864691135397637778,405728,211840,23664
128140,535377,not-neuron,864691136771730030,294656,252976,16155
128141,181035,not-neuron,864691134934372021,123632,298080,24835
128142,164383,not-neuron,864691135209034617,119568,204912,18135
128143,612792,neuron,864691135490589799,354912,128624,22889
128144,488218,not-neuron,864691135987361539,283792,140432,15727
128145,573607,not-neuron,864691135945466916,311760,284320,23983
128146,584743,not-neuron,864691135782420275,335808,155040,14874
128147,493639,not-neuron,864691136202824892,285600,172800,23768
128148,582684,neuron,864691135349293527,337280,120960,23888
128149,189518,not-neuron,864691135355466447,131632,116112,27842
128150,181024,not-neuron,864691135337856352,122288,302928,24194
128151,341770,neuron,864691136123682342,198576,239840,19924
128152,63812,not-neuron,864691135440511560,90176,119408,17703
128153,221806,neuron,864691135494521232,150128,107104,26892
128154,554776,not-neuron,864691135777419965,316208,133632,19915
128155,419905,not-neuron,864691135994865578,254208,90272,26796
128156,450303,neuron,864691135992495752,263808,86656,20212
128157,394928,neuron,864691135586082940,244528,151936,22524
128158,516585,neuron,864691135772252411,304048,109184,16480
128160,520817,neuron,864691135992487873,303872,127648,26139
128161,500058,neuron,864691135739988884,285856,237440,15138
128162,197415,not-neuron,864691136662174942,137776,177584,22870
128163,524859,neuron,864691135498558995,304000,172256,19849
128164,306552,neuron,864691135800060002,194800,234272,19019
128165,300551,neuron,864691135969912421,189056,176816,18540
128166,609836,not-neuron,864691134845085395,356992,124192,14928
128167,324272,neuron,864691136238458172,207536,106704,21250
128168,626697,not-neuron,864691135175126703,348768,269808,15179
128169,425021,neuron,864691136906675822,248080,147632,15800
128170,616511,not-neuron,864691135210042048,349024,170192,21982
128171,592096,neuron,864691136175003398,332816,209232,16706
128172,560945,not-neuron,864691135474654016,325104,186720,23100
128173,194026,neuron,864691135785246148,139792,171984,16926
128174,628216,not-neuron,864691136134765451,359088,262784,21578
128175,223981,not-neuron,864691135340965573,159424,143008,18208
128176,393141,neuron,864691135323991452,231344,127616,24620
128177,595364,not-neuron,864691135660831728,331312,239856,26610
128178,467693,neuron,864691135995329962,262736,227008,18522
128179,473606,not-neuron,864691135162589485,272992,267328,25271
128180,111068,neuron,864691136436403358,113824,131808,25726
128181,487312,neuron,864691135516358867,293760,114672,21082
128182,703644,not-neuron,864691136090898356,390416,164912,24545
128183,112602,not-neuron,864691136101208191,107168,151424,18735
128184,299067,neuron,864691135857310510,187152,171296,22343
128185,128807,neuron,864691135807289117,108560,225760,15159
128186,523147,not-neuron,864691135739858580,305968,162864,14931
128187,566966,not-neuron,864691136558583970,313776,249968,14902
128188,402673,neuron,864691136039380734,236208,220576,15690
128189,335677,neuron,864691136009444012,199600,176880,23675
128190,220994,neuron,864691135772466939,149168,110192,19692
128191,707245,not-neuron,864691136946092511,380128,178464,24062
128192,591930,neuron,864691136903539890,331264,225360,16376
128193,194042,not-neuron,864691136237521980,141264,168448,16774
128194,323907,neuron,864691136194796246,209776,107712,17059
128195,393376,not-neuron,864691135994865578,242688,136768,25816
128196,135222,neuron,864691136537570369,114176,243808,26011
128197,587771,neuron,864691135468877394,338448,160560,23326
128198,157218,neuron,864691135561237985,116320,149312,20824
128199,500620,neuron,864691135082453239,281856,237152,19368
128200,673146,not-neuron,864691135718478897,369728,211312,24458
128201,222142,neuron,864691135975457903,163664,116256,15743
128202,671546,neuron,864691136041840024,375040,224192,19802
128203,257789,not-neuron,864691135274078437,164464,141344,18070
128204,591863,neuron,864691136353427575,338128,220336,15398
128205,221680,neuron,864691135582031469,154192,106944,25453
128206,127944,neuron,864691135509589769,111968,217952,24402
128207,379271,not-neuron,864691135754586578,227216,268880,24204
128209,259988,neuron,864691136109238456,166752,152176,18373
128210,391607,neuron,864691135781630544,230320,120912,26575
128211,429403,not-neuron,864691136881038190,259568,171952,27851
128212,566173,not-neuron,864691136923638756,311568,237008,22075
128213,557238,neuron,864691136084069740,326528,149104,26261
128215,63811,not-neuron,864691135474619968,89376,114832,17898
128216,662710,neuron,864691136951636703,361248,172912,23712
128217,189927,not-neuron,864691136194098390,146160,129968,16727
128218,458954,not-neuron,864691135196231317,275248,169824,17083
128219,582838,neuron,864691136391366783,334640,122064,24950
128220,70548,neuron,864691135939275265,89744,150208,18118
128221,302649,not-neuron,864691135724205227,186736,205376,19481
128222,438833,neuron,864691135701220731,258128,255744,25471
128223,588745,not-neuron,864691135952010019,334448,189520,18666
128225,129708,neuron,864691136990687381,109408,233232,19845
128226,642320,not-neuron,864691135661139184,369488,110112,26049
128227,690392,neuron,864691135754585805,386752,98432,27733
128228,228858,neuron,864691135498064403,160208,168496,25527
128229,622188,neuron,864691136137630845,349392,210016,23687
128230,584380,neuron,864691136379591637,336144,135504,25094
128232,221709,not-neuron,864691135758951758,162544,98336,25606
128233,272503,neuron,864691136194964556,163728,248096,15101
128235,536520,neuron,864691135518223242,305472,243264,22152
128236,165289,neuron,864691136443715971,116480,197984,24776
128237,128057,neuron,864691135761514038,108048,209312,25233
128238,484274,neuron,864691135575235102,292848,89520,20758
128239,380216,not-neuron,864691136323546668,216368,283024,17942
128240,232661,neuron,864691135716174874,155504,205360,21454
128241,371898,not-neuron,864691136925373258,216720,214560,19554
128244,358759,neuron,864691136135476107,214656,118176,16674
128245,73434,neuron,864691136618210779,93632,168896,16271
128246,568927,not-neuron,864691135654064322,324560,243296,26798
128247,399288,neuron,864691135208460921,235152,187712,22039
128248,662800,not-neuron,864691136709812733,368736,162928,24789
128249,527745,not-neuron,864691134253876670,301376,180720,24748
128251,428204,not-neuron,864691135209034617,252816,165520,19741
128252,161563,neuron,864691135516771027,128016,190944,18371
128253,325137,neuron,864691136334800307,197376,111632,15383
128254,674764,neuron,864691136444086147,373456,229056,19778
128255,155019,neuron,864691136023769401,126208,141008,19668
128256,426303,neuron,864691136176196102,248496,150816,22997
128257,309605,neuron,864691135502771805,181360,248976,25372
128258,263721,neuron,864691135841699555,178432,167696,27383
128259,436844,not-neuron,864691135447423572,256240,232976,27124
128261,453117,neuron,864691135462906269,277488,101024,26984
128262,137509,not-neuron,864691135542859507,112608,265040,22977
128263,557303,neuron,864691135066018884,325808,146960,27115
128265,497699,neuron,864691135518377866,289920,207584,25700
128267,346829,not-neuron,864691136922713572,208880,272784,22629
128268,409515,not-neuron,864691135423211582,232496,260736,17522
128270,615285,neuron,864691135925014275,352640,156880,27128
128272,401649,not-neuron,864691136266457076,237136,202128,21082
128273,301496,not-neuron,864691135645842628,193616,189520,24127
128274,273658,neuron,864691136741307740,167808,244016,21285
128275,302481,not-neuron,864691135630820614,193696,192736,17805
128276,460571,neuron,864691135660497392,262480,173952,26762
128277,372341,not-neuron,864691135122333223,225872,221664,23343
128278,581382,neuron,864691136136562557,338672,104240,25023
128280,743938,not-neuron,864691135735525995,396304,120384,22887
128281,617120,not-neuron,864691136923121380,354256,163792,26142
128282,585321,neuron,864691136741260124,331648,152752,17441
128283,377288,not-neuron,864691135462956350,217104,273744,15923
128284,323729,neuron,864691136750289006,204832,108048,15315
128285,531945,neuron,864691135511466192,301328,223440,17745
128286,106396,neuron,864691135953749256,101280,120432,16605
128287,390546,neuron,864691135856964654,242960,113312,17902
128288,153226,neuron,864691136195077352,122432,114592,19538
128289,164374,neuron,864691135394966005,119200,200496,18044
128291,167564,not-neuron,864691136295644045,115152,213360,24483
128292,486370,neuron,864691134988834170,292944,113872,15288
128293,235220,not-neuron,864691135490982119,162384,224752,25785
128294,191629,neuron,864691136437278110,131088,148336,15891
128295,685515,neuron,864691134326388374,362080,288048,24585
128296,466390,neuron,864691135132667552,268752,214112,21852
128297,120462,neuron,864691134989400698,103808,187168,22568
128298,268070,neuron,864691136619107725,165232,215488,15361
128299,583229,neuron,864691136041484630,330928,130000,15918
128300,517519,neuron,864691136237823292,294784,99584,27128
128301,197805,neuron,864691135502491741,138368,187456,26181
128302,493070,neuron,864691135568165356,281312,176048,20640
128303,497316,neuron,864691136040279038,291200,204544,22353
128305,359395,neuron,864691135065350212,215888,125248,20483
128306,730498,not-neuron,864691135201985408,379072,266208,19623
128307,117450,neuron,864691135400912086,99808,160336,24527
128308,48057,not-neuron,864691135644950767,75456,262336,19853
128309,498311,neuron,864691135616694377,280448,213104,16118
