target_id,pt_root_id,cell_type,pt_position,pial_distances,layer,brain_region
30445,864691135345220511,exc,[ 72176 149936  21365],"[235.33426033942783, 225.9529723562713, 854.6000000000003]",L23,V1
30480,864691135785293252,exc,[ 73760 145696  21287],"[243.1243113435374, 209.6097290626844, 851.4800000000002]",L23,V1
30495,864691135393988085,exc,[ 74368 154208  21261],"[242.5795781202243, 243.7401289096744, 850.4400000000003]",L23,V1
30550,864691135654090434,exc,[ 77504 150896  21246],"[256.23048369300807, 231.63582318638166, 849.8400000000003]",L23,V1
32002,864691135278837665,exc,[ 81824 161888  16732],"[269.61266437890447, 276.9425629067592, 669.2800000000001]",L23,V1
30160,864691135490835047,exc,[ 74848 159824  20942],"[242.53440533547703, 266.28598563368297, 837.6800000000003]",L23,V1
33226,864691135307106630,exc,[ 68272 162784  20215],"[215.29857600273948, 275.78838620185485, 808.6000000000003]",L23,V1
33235,864691135317140431,inh,[ 68288 174752  20263],"[211.1900127466015, 323.4837967564386, 810.5200000000002]",L4,V1
74175,864691135133458848,exc,[ 91520 171504  20386],"[304.8967210606488, 318.64044410088513, 815.4400000000003]",L4,V1
33319,864691135208722297,exc,[ 73536 170640  20304],"[233.5356695056569, 308.9279597139846, 812.1600000000002]",L4,V1
33349,864691135208188793,exc,[ 76032 162512  20268],"[246.31528487961674, 277.4098406252183, 810.7200000000003]",L23,V1
33301,864691135926317012,exc,[ 72112 167568  20249],"[228.93231427220948, 296.19028015314257, 809.9600000000003]",L4,V1
33313,864691135740187243,exc,[ 73552 165072  20046],"[235.54055866881058, 286.746289365621, 801.8400000000003]",L4,V1
33315,864691136108738488,inh,[ 73680 171856  20140],"[233.68555211903313, 313.8236524333254, 805.6000000000003]",L4,V1
293318,864691135502985397,exc,[189472 119296  26037],"[713.4146814000584, 144.7514301634641, 1041.4800000000002]",L23,V1
33480,864691135335346921,exc,[ 73072 165872  20978],"[233.34896647168193, 289.76677337343915, 839.1200000000002]",L4,V1
33472,864691135851110343,exc,[ 71648 173936  20775],"[224.8633458332829, 321.4035904443957, 831.0000000000002]",L4,V1
33408,864691136040185854,exc,[ 82240 160720  20138],"[271.6775239866462, 272.4333684332065, 805.5200000000002]",L23,V1
33360,864691135615794025,inh,[ 77104 160400  19912],"[251.32325945976632, 269.3677116406412, 796.4800000000002]",L23,V1
33290,864691135594331947,exc,[ 71184 161824  20089],"[227.23692989826313, 272.9781886527072, 803.5600000000003]",L23,V1
33365,864691135758476622,exc,[ 77216 169440  20200],"[248.61800302675613, 305.42915769638967, 808.0000000000002]",L4,V1
33372,864691135581601133,exc,[ 78000 165808  20245],"[253.00826823060981, 291.2297615317694, 809.8000000000003]",L4,V1
33389,864691134964448031,exc,[ 80128 164112  20113],"[262.0791420595669, 285.2134463821832, 804.5200000000002]",L4,V1
33358,864691135987722499,exc,[ 76528 172016  20263],"[244.97842244433576, 315.4540952614855, 810.5200000000002]",L4,V1
33407,864691135858711912,exc,[ 81632 169472  19919],"[266.203630238777, 307.09618965764014, 796.7600000000002]",L4,V1
33431,864691135316983503,inh,[ 66208 172496  20927],"[203.68816628103303, 313.76900002119834, 837.0800000000003]",L4,V1
33451,864691135269671333,inh,[ 68592 175968  20745],"[211.97745996675644, 328.4352691511381, 829.8000000000003]",L4,V1
33364,864691135429251632,exc,[ 76992 168320  19877],"[248.11587030477546, 300.8881139034369, 795.0800000000003]",L4,V1
33296,864691135569341062,inh,[ 71200 169376  20077],"[224.66788568201977, 303.07681606019855, 803.0800000000003]",L4,V1
63893,864691135385277781,exc,[ 83104 123616  18530],"[288.05567957888763, 124.88334636815794, 741.2000000000002]",L23,V1
64014,864691135867398422,exc,[ 94672 120880  18996],"[335.1054330976193, 118.01386212066149, 759.8400000000001]",L23,V1
63900,864691135837210003,exc,[ 84144 118240  18323],"[294.074046614995, 103.82374347022328, 732.9200000000002]",L23,V1
566024,864691135383324378,exc,[320256 240624  20607],"[1192.2622631566303, 673.8109781218043, 824.2800000000002]",L6,RL
64083,864691136195033420,exc,[ 86944 117296  20279],"[305.5605273182377, 101.03825660900266, 811.1600000000002]",L23,V1
63917,864691135345129887,inh,[ 86384 122336  18728],"[301.5719914207194, 120.92631285877748, 749.1200000000001]",L23,V1
64044,864691135518399114,exc,[ 97376 118832  18945],"[346.59425479676844, 110.7957116674526, 757.8000000000002]",L23,V1
63926,864691135291754422,exc,[ 88544 119760  18561],"[311.077166385504, 111.41454830697988, 742.4400000000002]",L23,V1
63906,864691135346164895,exc,[ 84960 121152  18684],"[296.3104360180417, 115.7118956579243, 747.3600000000001]",L23,V1
63929,864691136090110007,exc,[ 88816 125808  18172],"[310.05255448847635, 135.60931589132483, 726.8800000000001]",L23,V1
63933,864691135307106118,exc,[ 91344 120256  18410],"[322.0616300105201, 114.36714290676767, 736.4000000000001]",L23,V1
488652,864691135565621079,exc,[287536 142464  19382],"[1096.1011319028232, 271.2581482522478, 775.2800000000001]",L23,RL
63939,864691135544428584,exc,[ 92784 125824  18029],"[325.85857876905277, 137.05640830089357, 721.1600000000001]",L23,V1
63924,864691135740571540,exc,[ 88352 122608  18635],"[309.31921063598816, 122.69626269721083, 745.4000000000001]",L23,V1
63949,864691135807269661,inh,[ 94352 114640  18709],"[336.0057112230434, 93.03728310557455, 748.3600000000001]",L1,V1
63951,864691135445635730,inh,[ 95232 119152  18663],"[337.9393297152166, 111.32339323120605, 746.5200000000001]",L23,V1
63976,864691136010949027,exc,[ 84912 124496  19454],"[294.95337142101545, 129.02026203699194, 778.1600000000001]",L23,V1
63978,864691136008482988,exc,[ 85296 126528  19136],"[295.77512460023144, 137.25120376394207, 765.4400000000002]",L23,V1
63980,864691136903063218,exc,[ 86368 122912  19424],"[301.3074281287509, 123.21596747564496, 776.9600000000002]",L23,V1
63982,864691135396399905,exc,[ 86784 117488  19278],"[304.8560271010287, 101.74755446177855, 771.1200000000001]",L23,V1
63940,864691135954544904,exc,[ 91968 127104  18320],"[322.16076187161326, 141.8724488107949, 732.8000000000002]",L23,V1
63909,864691135777391712,exc,[ 85680 121264  18221],"[299.140430975795, 116.40919942178269, 728.8400000000001]",L23,V1
64064,864691135012469494,exc,[ 83648 120608  19898],"[291.2720571386751, 113.08678265693696, 795.9200000000003]",L23,V1
64067,864691135474686784,exc,[ 84384 118032  20299],"[295.1029071031291, 103.0785789944487, 811.9600000000003]",L23,V1
64075,864691135700263803,exc,[ 86800 118656  20002],"[304.5125919315896, 106.40735405879904, 800.0800000000003]",L23,V1
