id,tuning_type,pref_ori,layer,osi,cell_type
461,direction,0,L2/3,0.38356838,excitatory
462,direction,9,L2/3,0.2156025,excitatory
463,direction,8,L4,0.29667816,excitatory
464,direction,0,L4,0.24261598,excitatory
465,direction,9,L2/3,0.53164625,excitatory
466,direction,9,L2/3,0.23102896,excitatory
467,direction,6,L4,0.7329822,excitatory
468,direction,5,L4,0.27463752,excitatory
469,direction,8,L4,0.26933905,excitatory
470,direction,7,L2/3,0.4369189,excitatory
471,direction,1,L2/3,0.85092336,excitatory
472,direction,8,L2/3,0.42249832,excitatory
473,direction,7,L2/3,0.21213129,excitatory
474,direction,8,L2/3,0.68622744,excitatory
475,direction,15,L2/3,0.83794534,excitatory
476,direction,8,L2/3,0.45836848,excitatory
477,direction,7,L2/3,0.7074508,excitatory
478,direction,9,L2/3,0.45301852,excitatory
479,direction,6,L4,0.5373729,excitatory
480,direction,8,L4,0.6756994,excitatory
481,direction,13,L4,0.5936118,excitatory
482,direction,2,L4,0.26621532,excitatory
483,direction,8,L4,0.318442,excitatory
484,direction,2,L2/3,0.33509877,excitatory
485,direction,0,L2/3,0.7409912,excitatory
486,direction,8,L4,0.53906494,excitatory
487,direction,8,L4,0.49074432,excitatory
488,direction,15,L4,0.39202195,excitatory
489,direction,9,L4,0.41555363,excitatory
490,direction,3,L2/3,0.71839166,excitatory
491,direction,11,L2/3,0.5111239,excitatory
492,direction,6,L2/3,0.26637208,excitatory
493,direction,8,L2/3,0.8432409,excitatory
494,direction,10,L2/3,0.34966636,excitatory
495,direction,10,L2/3,0.5277574,excitatory
496,direction,10,L2/3,0.27955937,excitatory
497,direction,6,L4,0.59500146,excitatory
498,direction,12,L2/3,0.3892082,excitatory
499,direction,4,L2/3,0.21188606,excitatory
500,direction,15,L2/3,0.55256397,excitatory
501,direction,7,L2/3,0.48255068,excitatory
502,direction,2,L2/3,0.57503754,excitatory
503,direction,15,L4,0.7697169,excitatory
504,direction,12,L2/3,0.5073523,excitatory
505,direction,6,L2/3,0.59031546,excitatory
506,direction,5,L2/3,0.6126597,excitatory
507,direction,3,L2/3,0.43146387,excitatory
508,direction,7,L2/3,0.32797202,excitatory
509,direction,9,L2/3,0.64283144,excitatory
510,direction,15,L2/3,0.3471766,excitatory
511,direction,5,L4,0.39979252,excitatory
512,direction,8,L2/3,0.55980617,excitatory
513,direction,13,L2/3,0.45828348,excitatory
514,direction,0,L2/3,0.57648236,excitatory
515,direction,13,L2/3,0.42226708,excitatory
516,direction,1,L4,0.40876228,excitatory
517,direction,6,L2/3,0.28545144,excitatory
518,direction,11,L4,0.63905424,excitatory
519,direction,12,L4,0.39097974,excitatory
520,direction,12,L4,0.3751723,excitatory
521,direction,2,L2/3,0.43623024,excitatory
522,direction,0,L2/3,0.6167366,excitatory
523,direction,13,L2/3,0.29181868,excitatory
524,direction,14,L4,0.57060546,excitatory
525,direction,12,L2/3,0.44925153,excitatory
526,direction,5,L2/3,0.3049341,excitatory
527,direction,4,L2/3,0.6976532,excitatory
528,direction,7,L2/3,0.25156733,excitatory
529,direction,13,L4,0.5539878,excitatory
530,direction,9,L2/3,0.43895712,excitatory
531,direction,8,L2/3,0.44090828,excitatory
532,direction,12,L2/3,0.4937331,excitatory
533,orientation,0,L2/3,0.84860426,excitatory
534,orientation,0,L2/3,0.36285695,excitatory
535,orientation,9,L2/3,0.89922225,excitatory
536,orientation,6,L2/3,0.84249276,excitatory
537,direction,12,L2/3,0.54828507,excitatory
538,orientation,10,L2/3,0.53641546,excitatory
539,orientation,0,L2/3,0.6736374,excitatory
540,orientation,4,L2/3,0.7723905,excitatory
541,orientation,7,L2/3,0.73622257,excitatory
542,direction,13,L2/3,0.6917236,excitatory
543,orientation,4,L2/3,0.63528895,excitatory
544,orientation,0,L2/3,0.576236,excitatory
545,orientation,9,L2/3,0.54867464,excitatory
546,orientation,15,L2/3,0.67431915,excitatory
547,orientation,3,L4,0.56039083,excitatory
548,orientation,9,L4,0.96520126,excitatory
549,direction,8,L4,0.36169007,excitatory
550,orientation,12,L4,0.38981837,excitatory
551,orientation,15,L4,0.7056102,excitatory
552,orientation,13,L4,0.70529246,excitatory
553,orientation,7,L4,0.66437757,excitatory
554,orientation,9,L4,0.81678975,excitatory
555,orientation,7,L4,0.6392774,excitatory
556,orientation,6,L4,0.6388891,excitatory
557,orientation,15,L4,0.6657019,excitatory
558,orientation,11,L4,0.6927075,excitatory
559,direction,13,L4,0.4838244,excitatory
560,orientation,11,L4,0.7135063,excitatory
561,orientation,10,L4,0.79202163,excitatory
562,direction,4,L4,0.40602404,excitatory
563,orientation,11,L4,0.4481661,excitatory
564,orientation,12,L4,0.7861351,excitatory
565,orientation,1,L2/3,0.93532836,excitatory
566,orientation,15,L2/3,0.44382694,excitatory
567,direction,13,L2/3,0.43319324,excitatory
568,orientation,8,L2/3,0.52124554,excitatory
569,direction,2,L2/3,0.5377866,excitatory
570,direction,14,L2/3,0.9207777,excitatory
571,orientation,6,L4,0.7766338,excitatory
572,orientation,8,L4,0.39069566,excitatory
573,orientation,15,L4,0.7625398,excitatory
574,orientation,13,L4,0.57238877,excitatory
575,orientation,14,L4,0.83233625,excitatory
576,orientation,1,L4,0.6744165,excitatory
577,orientation,11,L2/3,0.77285427,excitatory
578,direction,7,L2/3,0.39133054,excitatory
579,orientation,8,L2/3,0.5590691,excitatory
580,orientation,7,L2/3,0.53921944,excitatory
581,direction,11,L2/3,0.42377853,excitatory
582,orientation,4,L4,0.70284516,excitatory
583,orientation,14,L4,0.5676715,excitatory
584,orientation,9,L4,0.7435649,excitatory
585,orientation,0,L4,0.25644594,excitatory
586,orientation,14,L4,0.61190814,excitatory
587,direction,13,L4,0.58539385,excitatory
588,orientation,0,L2/3,0.84193575,excitatory
589,orientation,2,L2/3,0.49153897,excitatory
590,orientation,13,L2/3,0.38292167,excitatory
591,orientation,14,L2/3,0.76727164,excitatory
592,direction,10,L2/3,0.72922134,excitatory
593,direction,4,L4,0.42346755,excitatory
594,orientation,6,L4,0.81380934,excitatory
595,orientation,11,L4,0.41522193,excitatory
596,orientation,2,L2/3,0.9630772,excitatory
597,orientation,6,L2/3,0.8442496,excitatory
598,orientation,12,L2/3,0.659185,excitatory
599,orientation,7,L2/3,0.59399045,excitatory
600,orientation,12,L4,0.20805037,excitatory
601,orientation,3,L4,0.34586123,excitatory
602,orientation,4,L4,0.7584421,excitatory
603,orientation,14,L4,0.6261289,excitatory
604,direction,5,L2/3,0.030699626,excitatory
605,orientation,14,L2/3,0.79078686,excitatory
606,orientation,15,L2/3,0.7112954,excitatory
607,orientation,14,L2/3,0.73919046,excitatory
608,orientation,4,L2/3,0.7462863,excitatory
609,orientation,9,L4,0.79298913,excitatory
610,orientation,1,L2/3,0.6842928,excitatory
611,orientation,1,L4,0.6062807,excitatory
612,orientation,0,L2/3,0.9317431,excitatory
613,orientation,13,L4,0.4769277,excitatory
