pre_pt_root_id,post_pt_root_id,syn_volume
864691135271463077,864691135693697471,1812
864691135271463077,864691136577696532,37984
864691135271463077,864691136911633137,4084
864691135273844753,864691135430270512,5028
864691135273844753,864691135510610384,2000
864691135273844753,864691135865591685,3984
864691135273844753,864691136196160844,1268
864691135273851665,864691135942611316,13036
864691135273851665,864691136110743992,708
864691135274038801,864691135210917824,20820
864691135274038801,864691135342037957,6972
864691135274038801,864691136266658455,5428
864691135274038801,864691136310774362,680
864691135274195217,864691135104785997,6440
864691135274195217,864691136106513625,4236
864691135274195217,864691136196160844,7792
864691135274195217,864691136812334963,5584
864691135274631397,864691135083332855,2032
864691135274631397,864691135119056861,756
864691135274631397,864691135135661593,1984
864691135274631397,864691135441799752,352
864691135274631397,864691135561071585,492
864691135274631397,864691135585662584,1688
864691135274631397,864691135947457121,216
864691135274631397,864691136032511419,4304
864691135274631397,864691137019776622,1072
864691135275621605,864691135585662584,3960
864691135275621605,864691135988436227,2072
864691135275949029,864691135119056861,6188
864691135275949029,864691135349326551,248
864691135275949029,864691135749449513,14108
864691135275949029,864691135919801008,2672
864691135275949029,864691136663515102,280
864691135276132325,864691135799751266,6660
864691135276132325,864691135867411478,11600
864691135276132325,864691136195824204,6528
864691135276132325,864691136274974477,9328
864691135276132325,864691137019776622,28624
864691135276234469,864691135561071585,3880
864691135276234469,864691135867411478,9568
864691135276234469,864691135941226150,5748
864691135276504549,864691135441386568,2524
864691135276504549,864691135800694114,9184
864691135276504549,864691135867411478,11972
864691135276504549,864691135890241929,2704
864691135276504549,864691135941226150,1792
864691135276505573,864691135257139887,1448
864691135276505573,864691136814933614,11256
864691135276707045,864691135257086127,25500
864691135276707045,864691135693630143,16852
864691135276707045,864691135719688241,200
864691135276707045,864691135777228973,9344
864691135276707045,864691135919801008,12980
864691135276707045,864691136379619285,12288
864691135276707045,864691137019776622,4252
864691135280182689,864691135919801008,3532
864691135280182689,864691137055089014,708
864691135280182689,864691137198198593,1280
864691135293152438,864691135279030689,22508
864691135293152438,864691135409058249,4036
864691135293152438,864691135469684306,512
864691135293152438,864691135565877783,4024
864691135293152438,864691135865591685,7740
864691135293152438,864691135867411478,9480
864691135293152438,864691135941226150,15548
864691135293152438,864691136110743992,3440
864691135293152438,864691136196160844,4032
864691135293152438,864691136274974477,19260
864691135293436854,864691135257086127,3220
864691135293436854,864691135919801008,5024
864691135293488822,864691135163754797,1980
864691135293488822,864691135498488851,22716
864691135293488822,864691135518335114,2416
864691135293488822,864691135741524587,1656
864691135293488822,864691135867411478,14156
864691135293488822,864691135919801008,4584
864691135293488822,864691135941226150,3972
864691135293488822,864691136106513625,1068
864691135293488822,864691136196160844,7044
864691135293605558,864691135688419296,39536
864691135293605558,864691135716315930,31684
864691135293605558,864691135800583522,14456
864691135293605558,864691135885572208,3096
864691135293605558,864691135927277582,4180
864691135293605558,864691136228870481,11488
864691135293605558,864691136451925247,4152
864691135293605558,864691136740782428,560
864691135294520844,864691135867411478,8764
864691135304641703,864691135349326551,6476
864691135304641703,864691135464019269,12436
864691135304641703,864691135469684306,1152
864691135304641703,864691135510610384,6368
864691135304641703,864691135867411478,13216
864691135304641703,864691136196160844,15276
864691135304641703,864691136239352636,2012
864691135304641703,864691136274974477,11200
864691135304641703,864691137019776622,23280
864691135304679079,864691135014479766,9896
864691135304679079,864691135510677001,8624
864691135304679079,864691135938727989,1812
864691135304679079,864691137019776622,1144
864691135304694183,864691135119056861,480
864691135304694183,864691135342037957,7388
864691135304694183,864691135346962335,1492
864691135304694183,864691135867411478,14824
864691135304694183,864691135938727989,31056
864691135304694183,864691135941226150,4552
864691135304694183,864691135991822529,1836
864691135304694183,864691136110743992,7364
864691135304694183,864691136195824204,8148
864691135304694183,864691136196160844,7428
864691135304694183,864691136274974477,16160
864691135308673094,864691135849033822,4848
864691135323181212,864691135256582319,3172
864691135323181212,864691135274380517,14484
864691135323181212,864691135476788648,2124
864691135323181212,864691135498395667,8620
864691135323181212,864691135510422224,1124
864691135323181212,864691135594774315,6972
864691135323181212,864691135783823667,3592
864691135323181212,864691135800694114,4440
864691135323181212,864691135942611316,1628
864691135323181212,864691136144827444,7772
864691135323181212,864691136208987580,5888
864691135323181212,864691136419227543,1032
864691135323181212,864691136437298590,5312
864691135323181212,864691136686104174,5412
864691135323181212,864691136990670997,2444
864691135323181212,864691137054885238,1852
864691135323237532,864691135919801008,1544
864691135323237532,864691135941226150,3212
864691135324361372,864691135441799752,7124
864691135324361372,864691135941226150,7688
864691135324361372,864691136110743992,11464
