pt_root_id,cell_type,tuning_type,layer,position_original,axon_proof,dendr_proof,pref_ori,osi
864691136085278060,exc,direction,L4,[229472 162592  19964],non,non,7.0,0.42191386
864691135213389696,exc,direction,L4,[228848 162016  18002],non,non,8.0,0.37950248
864691135926520788,exc,direction,L4,[238032 158672  17476],non,non,8.0,0.22656572
864691136090098743,exc,direction,L4,[131856 174192  19316],non,non,14.0,0.32952335
864691135926593294,exc,direction,L4,[256800 161120  24390],non,non,9.0,0.5570659
864691136912476145,exc,direction,L4,[247008 156720  16701],non,non,14.0,0.33070093
864691135210073024,exc,direction,L4,[274000 161856  19155],non,non,10.0,0.5778047
864691135926810324,exc,direction,L4,[182608 155648  16980],non,non,12.0,0.2721465
864691136088929847,exc,direction,L4,[166368 177072  26419],non,non,5.0,0.4140759
864691135927250388,exc,direction,L4,[219616 163728  21021],non,non,12.0,0.25333
864691135211280832,exc,direction,L4,[251648 150672  16241],non,non,2.0,0.371025
864691135257079727,exc,direction,L4,[234064 161760  18503],non,non,9.0,0.43369624
864691135100439840,exc,direction,L4,[184624 159408  23235],non,non,8.0,0.49034995
864691135100407840,exc,direction,L4,[276560 165248  20072],non,non,13.0,0.27817005
864691137020500590,exc,direction,L4,[144400 178848  23250],non,non,12.0,0.3713794
864691137020599918,exc,direction,L4,[232112 164816  15000],non,non,12.0,0.383031
864691136009217196,exc,direction,L4,[126672 164704  19252],non,non,11.0,0.6654056
864691137020757358,exc,direction,L4,[151712 169200  22459],non,non,6.0,0.16676132
864691137020787054,exc,direction,L4,[192400 170160  20939],clean,clean,7.0,0.4687493
864691134947956988,exc,direction,L4,[245840 157168  21958],non,non,6.0,0.6029934
864691136032839611,exc,direction,L4,[158672 177168  16874],non,non,8.0,0.3189376
864691137054226294,exc,direction,L4,[161056 177168  16704],non,non,13.0,0.5665642
864691136032882363,exc,direction,L4,[167216 162032  21745],non,non,3.0,0.58851516
864691134941168227,exc,direction,L4,[264928 154160  16087],non,non,8.0,0.5070921
864691136011449507,exc,direction,L4,[154336 165008  20597],non,non,8.0,0.1602347
864691134940363619,exc,direction,L4,[184656 162912  15990],non,non,6.0,0.5373729
864691136032561083,exc,direction,L4,[188560 167440  17765],non,non,9.0,0.39372554
864691136023724857,exc,direction,L4,[193520 165888  16288],non,non,2.0,0.39142808
864691134917606154,exc,direction,L4,[242400 157248  25095],non,non,14.0,0.80323285
864691134885788922,exc,direction,L4,[233248 172128  22634],non,non,4.0,0.42688888
864691136024759865,exc,direction,L4,[268544 159168  21080],non,non,11.0,0.6810592
864691136024838713,exc,direction,L4,[148624 164464  23646],non,non,12.0,0.55425406
864691136032682683,exc,direction,L4,[126336 179488  16538],non,non,12.0,0.48606348
864691136966719950,exc,direction,L4,[231328 152960  16995],non,non,2.0,0.28155756
864691137019764334,exc,direction,L4,[145232 166288  24245],non,non,8.0,0.35106128
864691136991137429,exc,direction,L4,[249968 155920  15591],non,non,8.0,0.54130673
864691135099855904,exc,direction,L4,[133440 164768  16975],non,non,4.0,0.64313906
864691135968871781,exc,direction,L4,[168192 169552  25576],non,non,4.0,0.33568978
