neuron_id,angle_shown,rate
864691135988127747,7,0.42985478
864691135988127747,8,0.27727926
864691135988127747,9,1.0479596
864691135988127747,10,0.8728677
864691135988127747,11,1.4676424
864691135988127747,12,0.52614534
864691135988127747,13,0.4946936
864691135988127747,14,1.1046232
864691135988127747,15,0.41375867
864691135294380300,0,1.9471079
864691135294380300,1,0.43324432
864691135294380300,2,0.5767362
864691135294380300,3,0.47044262
864691135294380300,4,0.64156806
864691135294380300,5,0.54660153
864691135294380300,6,1.3263782
864691135294380300,7,2.3605409
864691135294380300,8,1.2153476
864691135294380300,9,0.5137104
864691135294380300,10,0.53565824
864691135294380300,11,0.5871426
864691135294380300,12,0.37038186
864691135294380300,13,0.14494301
864691135294380300,14,1.2253113
864691135294380300,15,1.0870125
864691135303189927,0,1.0400102
864691135303189927,1,0.48980847
864691135303189927,2,0.52438694
864691135303189927,3,0.90897256
864691135303189927,4,0.48883122
864691135303189927,5,1.1039717
864691135303189927,6,1.3157603
864691135303189927,7,1.2958663
864691135303189927,8,0.691811
864691135303189927,9,0.5417243
864691135303189927,10,0.32589647
864691135303189927,11,0.579954
864691135303189927,12,0.45264858
864691135303189927,13,0.5204675
864691135303189927,14,0.6793772
864691135303189927,15,0.88744056
864691135988046595,0,0.6888412
864691135988046595,1,0.5007181
864691135988046595,2,0.7534566
864691135988046595,3,0.49263912
864691135988046595,4,0.39609456
864691135988046595,5,0.37280518
864691135988046595,6,0.51493347
864691135988046595,7,0.6609585
864691135988046595,8,0.8011607
864691135988046595,9,0.90481174
864691135988046595,10,0.74347025
864691135988046595,11,0.77323073
864691135988046595,12,0.5383368
864691135988046595,13,0.33328047
864691135988046595,14,0.43248242
864691135988046595,15,0.37955904
864691135303928743,0,0.9208573
864691135303928743,1,1.7258959
864691135303928743,2,1.0889523
864691135303928743,3,0.508634
864691135303928743,4,1.0082438
864691135303928743,5,0.9531544
864691135303928743,6,0.7199097
864691135303928743,7,0.73031336
864691135303928743,8,0.9982618
864691135303928743,9,1.0563309
864691135303928743,10,1.5247438
864691135303928743,11,1.0809174
864691135303928743,12,0.8199558
864691135303928743,13,0.7979511
864691135303928743,14,1.0011942
864691135303928743,15,0.88943374
864691135304008359,0,0.9054882
864691135304008359,1,1.1903311
864691135304008359,2,0.93596727
864691135304008359,3,1.325288
864691135304008359,4,1.0739588
864691135304008359,5,0.8804847
864691135304008359,6,0.65925586
864691135304008359,7,0.7295804
864691135304008359,8,0.81741697
864691135304008359,9,0.7741255
864691135304008359,10,0.6166614
864691135304008359,11,0.7847637
864691135304008359,12,0.61614734
864691135304008359,13,0.7344168
864691135304008359,14,0.4831636
864691135304008359,15,0.6593641
864691135304051111,0,0.5692712
864691135304051111,1,0.30386347
864691135304051111,2,0.18042715
864691135304051111,3,0.19266212
864691135304051111,4,0.5969867
864691135304051111,5,0.52162796
864691135304051111,6,0.23440707
864691135304051111,7,1.6279646
864691135304051111,8,0.54064393
864691135304051111,9,0.26727712
864691135304051111,10,0.34614596
864691135304051111,11,1.313888
864691135304051111,12,0.58775324
864691135304051111,13,0.9977868
864691135304051111,14,2.1481757
864691135304051111,15,1.9659764
864691135383435482,0,1.1251359
