pt_root_id,nucleus_id,cell_type,tuning_type,layer,axon_proof,dendr_proof,pref_ori,pial_dist_x,pial_dist_y,pial_dist_z
864691135808392221,333406,exc,not_matched,L4,non,non,0,751.0720049165748,322.34126510221404,949.8000000000003
864691136274778637,392348,exc,not_matched,L23,non,non,0,894.4316142847164,194.95915093458905,732.4400000000002
864691135345679263,109976,exc,not_matched,L23,non,non,0,364.1493334182516,159.80824507058884,878.7200000000003
864691136974360092,222297,exc,not_selective,L23,non,non,0,578.100090530117,108.949750290861,695.5600000000002
864691135123244583,156181,exc,not_matched,L23,non,non,0,412.7753977499099,217.89933997861604,611.7200000000001
864691136596263586,223790,exc,not_matched,L23,non,non,0,587.1631902136963,191.1404117562946,662.1200000000001
864691135920176560,325467,inh,not_matched,L23,non,non,0,779.2574754019694,141.90316928673238,631.9200000000001
864691136319937175,187972,exc,not_matched,L23,non,non,0,511.26904247676043,109.14177135729685,608.0400000000001
864691136101516661,395083,exc,selective,L4,clean,extended,1,867.6639299985944,304.8523704067589,946.4400000000003
864691135953743368,324143,exc,not_matched,L23,non,non,0,789.8860471936121,104.86456729273289,785.7200000000001
864691135739082609,262696,exc,not_selective,L4,extended,extended,6,644.0736641260675,325.63628377870765,832.8400000000003
864691135585842044,390485,exc,not_matched,L23,non,non,0,883.9411331307302,180.48576967249747,696.0800000000002
864691135683695090,154042,inh,not_matched,L23,non,non,0,466.2140916274651,118.17735678202618,1028.5200000000002
864691135992695176,363551,exc,not_matched,L4,non,non,0,850.8838132857654,284.43218188892604,865.0000000000002
864691135214038328,331204,exc,not_matched,L23,non,non,0,738.4258846579024,248.0604220644348,1035.0400000000002
864691136110763704,159181,exc,not_matched,L4,non,non,0,414.6459536439304,297.85462366048006,751.2800000000001
864691135619063439,423431,exc,not_matched,L23,non,non,0,973.7552582586002,223.80643466641632,693.1600000000001
864691135857752622,190344,exc,not_matched,L23,non,non,0,486.6577484529832,203.9334667660994,802.1600000000002
864691135516912339,359248,exc,selective,L23,non,non,4,839.7387153386969,170.96504589021387,767.7200000000001
864691136273631757,358985,exc,selective,L23,non,non,0,827.9265158137893,123.86832763528899,722.2000000000002
864691136483276588,329343,exc,selective,L4,non,non,4,755.3928778703377,303.0604848037551,648.0800000000002
864691135800466786,154722,exc,not_selective,L23,non,non,2,422.28964758893477,164.959107923962,720.5600000000002
864691136112316497,64297,exc,not_matched,L23,non,non,0,336.80827385999123,95.61303255258512,858.0800000000003
864691135518210698,256044,exc,selective,L23,non,non,0,634.1124533205953,106.84754986562673,733.5600000000002
864691135195378986,63950,exc,not_matched,L23,non,non,0,336.3852443029896,109.260094287402,738.1600000000001
864691136267238644,453522,exc,not_matched,L23,non,non,0,1006.9472010088276,185.14418154446776,706.1200000000001
864691135594375979,191722,exc,selective,L4,non,non,7,509.35184065698667,274.98174738594395,633.2400000000001
864691135404134382,152374,exc,not_matched,L23,non,non,0,432.7239729619894,75.80124672255572,1014.8400000000003
864691136618664589,259993,exc,selective,L4,non,non,1,611.80043835913,278.16283601475993,733.4800000000001
864691136032575163,327675,exc,not_matched,L23,non,non,0,777.6371482418373,202.27969939483103,694.8000000000002
864691136195633878,117781,exc,not_matched,L4,non,non,0,389.62937505849237,283.4595074095218,1003.1600000000003
864691135954743560,330309,exc,not_matched,L4,non,non,0,755.3409420329461,291.1707141302395,821.1600000000002
864691135081640951,261276,exc,not_matched,L4,non,non,0,649.4261141427002,263.7231824929585,1080.0000000000002
864691135012530934,392867,exc,not_matched,L23,non,non,0,883.579143459671,236.02556588636614,891.8400000000003
864691134885753082,162941,exc,not_matched,L4,non,non,0,436.61306029495023,354.4485400948701,1036.7200000000003
864691136021572344,456887,exc,not_matched,L4,non,non,0,1043.5822822717894,314.20425179416264,633.4800000000001
864691136378763733,425459,exc,not_matched,L4,non,non,0,981.2165852836675,315.49362962310045,706.3600000000001
864691135335396329,188057,exc,not_matched,L23,non,non,0,480.19684303391017,133.85569467561547,650.2400000000001
864691135195915818,325832,exc,not_matched,L23,non,non,0,795.8972469506792,155.11569859821333,726.7600000000001
864691135570227078,423330,exc,not_selective,L23,non,non,0,969.3252247719038,245.0692432134251,665.5600000000002
864691136090890551,394915,inh,not_matched,L4,non,non,0,911.7466381889601,299.58639294734337,886.9600000000003
864691135104873549,294126,exc,selective,L23,non,non,4,693.8213906282712,202.01366243511248,740.9200000000002
864691136144712244,189690,exc,not_matched,L23,non,non,0,518.3278598635237,196.61786075948908,606.2000000000002
864691135488713786,363505,exc,not_selective,L4,non,non,2,821.6919957688341,270.7639355471972,850.9600000000003
864691135013269494,395423,exc,not_matched,L4,non,non,0,911.0795652586874,297.664942009719,1034.0000000000002
864691135429520432,323909,exc,not_matched,L23,non,non,0,800.9373886071812,101.91252173740557,676.3200000000002
